id,name,website,is_active,property_count,scrape_status,scrape_error,created_at,updated_at,last_scrape,size_category,scrape_frequency,last_new_properties,avg_new_properties,total_scrapes,next_scrape_at
27,Depaulaonline,https://www.depaulaonline.com.br,True,38,error,,2025-12-19T19:05:25.707157,2025-12-23T18:23:57.210385,2025-12-21T10:01:47.891328,medium,weekly,38,38,1,2025-12-28T10:01:47.891313+00:00
33,Unileiloes,https://www.unileiloes.com.br,True,2,error,,2025-12-19T19:05:25.707157,2025-12-23T18:24:10.884161,2025-12-21T10:12:36.304753,small,weekly,2,2,1,2025-12-28T10:12:36.304734+00:00
6,Sfrazao,https://www.sfrazao.com.br,True,10,error,,2025-12-19T19:05:25.707157,2025-12-23T18:24:21.611347,2025-12-21T11:44:22.115828,small,weekly,10,10,1,2025-12-28T11:44:22.115811+00:00
13,Sodresantoro,https://www.sodresantoro.com.br,True,28,error,,2025-12-19T19:05:25.707157,2025-12-23T18:24:34.831792,2025-12-21T09:44:05.414923,medium,weekly,28,28,1,2025-12-28T09:44:05.414882+00:00
7,Leiloes,https://www.leiloes.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:49:39.635758,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
8,Grupoarremateleiloes,https://www.grupoarremateleiloes.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:50:32.851289,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
9,Sold,https://www.sold.com.br,True,1,success,,2025-12-19T19:05:25.707157,2025-12-23T22:51:05.266917,2025-12-23T22:51:05.266917,small,weekly,1,1,1,2025-12-30T22:51:05.266917+00:00
10,Milanleiloes,https://www.milanleiloes.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:51:13.604415,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
14,Leilaovip,https://www.leilaovip.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:51:25.927306,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
15,Hastavip,https://www.hastavip.com.br,True,6,success,,2025-12-19T19:05:25.707157,2025-12-23T22:54:45.557304,2025-12-23T22:54:45.557304,small,weekly,6,6,1,2025-12-30T22:54:45.557304+00:00
16,Bestleiloes,https://www.bestleiloes.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:54:56.43046,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
17,Satoleiloes,https://www.satoleiloes.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:55:05.469121,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
18,Casareisleiloesonline,https://www.casareisleiloesonline.com.br,True,0,error,,2025-12-19T19:05:25.707157,2025-12-23T22:55:14.451448,,small,weekly,0,0,0,2025-12-19T19:05:25.707157+00:00
2,Megaleiloes,https://www.megaleiloes.com.br/,True,50,success,,2025-12-19T16:22:44.282953,2025-12-27T16:12:15.662857,2025-12-27T16:12:15.662857,large,weekly,469,469,1,2025-12-30T22:48:35.302461+00:00
