
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444419970935 ;AC ;CRUZEIRO DO SUL ;ZONA RURAL ;ESTRADA DO CANELA FINA, N. SN, PARTE 19, DESMEMBRADA DO LOTE 174 ;68.692,42;250.000,00;72.53;Terreno, 0.00 de área total, 0.00 de área privativa, 1899.98 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419970935
 10005120 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005120
 10005121 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005121
 10005122 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005122
 1444416896521 ;AC ;CRUZEIRO DO SUL ;JARDIM PRIMAVERA ;RUA PROJETADA, N. SN, LT 21 QD 04 TIPO AC-3 ;269.411,67;477.000,00;43.52;Casa, 0.00 de área total, 98.60 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416896521
 1444420699441 ;AC ;CRUZEIRO DO SUL ;CENTRO ; AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18 ;298.884,47;507.000,00;41.05;Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420699441
 1444415405230 ;AC ;CRUZEIRO DO SUL ;Bairro AABB ; AVENIDA VITORIA REGIA, N. 0, Apto ., 1027 ;151.810,24;255.000,00;40.47;Casa, 0.00 de área total, 131.20 de área privativa, 257.72 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415405230
 8444433039915 ;AC ;CRUZEIRO DO SUL ;CRUZEIRÃO ; RUA MATO GROSSO, N. SN, SETOR 04 B QD 243 B LT 07 ;126.322,42;209.000,00;39.56;Casa, 115.50 de área total, 115.50 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433039915
 8444411200837 ;AC ;CRUZEIRO DO SUL ;TELEGRAFO ; RUA SERGIPE, N. 791, SETOR 03 B QD 295 LT 16 ;119.590,43;190.000,00;37.06;Casa, 111.70 de área total, 111.70 de área privativa, 300.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411200837
 8444400929075 ;AC ;PORTO ACRE ;CORONEL JOSE CANDIDO ; RUA LUIZ GALVEZ, N. SN,  QD 46 LT 05 ;81.306,26;138.000,00;41.09;Casa, 0.00 de área total, 258.00 de área privativa, 580.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400929075
 10151420 ;AC ;RIO BRANCO ;FLORESTA SUL ;ESTRADA DA FLORESTA ;5.386.916,55;9.226.000,00;41.62;Gleba, 0.00 de área total, 0.00 de área privativa, 49338.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10151420
 1444400380830 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA CAMPINA GRANDE, N. 56,  LT 02, QD A ;348.993,31;592.000,00;41.05;Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400380830
 1444409580107 ;AC ;RIO BRANCO ;TANCREDO NEVES ; RUA JORGE AMADO, N. 25, LT 02, QD 25 ;131.549,47;209.000,00;37.06;Casa, 67.44 de área total, 67.44 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409580107
 1555518425210 ;AC ;RIO BRANCO ;CALAFATE ; RUA 25 DE AGOSTO, N. SN, CASA 001 ;118.331,58;188.000,00;37.06;Casa, 58.40 de área total, 58.40 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555518425210
 8444402235844 ;AC ;RIO BRANCO ;Novo Calafate ;TRAVESSA BOM JESUS, N. 73, 0, ;120.219,85;191.000,00;37.06;Casa, 63.50 de área total, 63.50 de área privativa, 261.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402235844
 1444400373710 ;AC ;RIO BRANCO ;HABITASA ;RUA PERU, N. 24, QDF LT24 ;154.230,06;242.000,00;36.27;Casa, 140.78 de área total, 233.18 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400373710
 1444404628756 ;AC ;RIO BRANCO ;NOVA ESPERANCA ;RUA ARMINIO ALVES, N. 130, LT 10 QD 07 ;253.013,78;397.000,00;36.27;Casa, 0.00 de área total, 160.24 de área privativa, 239.90 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404628756
 1444405129400 ;AC ;RIO BRANCO ;NOVO HORIZONTE ;RUA ADEMAR DE BARROS, N. 74, ;240.904,81;378.000,00;36.27;Casa, 182.84 de área total, 182.84 de área privativa, 440.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405129400
 1444405193516 ;AC ;RIO BRANCO ;NOVA ESPERANCA ;RUA BENZINHO, N. S/N, QD 05 - LT 09 ;260.024,23;408.000,00;36.27;Casa, 163.83 de área total, 163.83 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405193516
 1444405651913 ;AC ;RIO BRANCO ;CONJUNTO OURICURI ;RUA EMA, N. SN, LT 11 QD 38A ;200.116,69;314.000,00;36.27;Casa, 200.00 de área total, 98.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405651913
 1444406697321 ;AC ;RIO BRANCO ;LOT NOVA ESPERANÇA ;RUA BENZINHO, N. SN, QD 06, LT 38 ;200.116,69;314.000,00;36.27;Casa, 144.00 de área total, 144.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406697321
 1444407012594 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ;RUA VITAL BRASIL, N. 379, ;230.707,78;362.000,00;36.27;Casa, 155.66 de área total, 155.66 de área privativa, 139.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407012594
 1444408125473 ;AC ;RIO BRANCO ;Floresta ;R GOV ARTHUR REIS, N. 446, CS27 QD03 ;198.204,75;311.000,00;36.27;Casa, 0.00 de área total, 144.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408125473
