
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444400979730 ;AL ;ARAPIRACA ;MASSARANDUBA ;RUA PROJETADA 13, N. 168, LT 07 QD F ;88.046,38;200.280,49;56.04;Casa, 0.00 de área total, 83.38 de área privativa, 144.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400979730
 8444405479957 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA E, N. 53,  CS ;75.925,76;140.200,00;45.85;Casa, 99.30 de área total, 99.30 de área privativa, 160.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405479957
 8444406760030 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ; RUA PROJETADA 05, N. 250, H12 ;74.508,08;137.000,00;45.62;Casa, 0.00 de área total, 87.07 de área privativa, 150.50 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406760030
 8444405471964 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA F, N. 55, ;95.610,91;172.010,35;44.42;Casa, 0.00 de área total, 120.73 de área privativa, 181.20 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405471964
 8555504185139 ;AL ;ARAPIRACA ;PLANALTO ;RUA ATENOR FEITOSA, N. 193, LT 08 ;100.051,91;180.000,00;44.42;Casa, 0.00 de área total, 71.08 de área privativa, 169.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555504185139
 8444403135070 ;AL ;ARAPIRACA ;BOA VISTA ;R PROJETADA B, N. 120, LT 13 QD C ;112.087,95;199.000,00;43.68;Casa, 0.00 de área total, 84.24 de área privativa, 189.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403135070
 8444403971242 ;AL ;ARAPIRACA ;VERDES CAMPOS ;RUA SEBASTIAO FLORENTINO DOS SANTOS, N. 384, LT 17 QD I - ANTIGA RUA PROJETADA D ;99.028,93;175.000,00;43.42;Casa, 0.00 de área total, 76.40 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403971242
 8444408077906 ;AL ;ARAPIRACA ;SENADOR NILO COELHO ; RUA PROJETADA 04, N. 10, QD G LT 33 ;86.063,06;147.000,00;41.46;Casa, 73.76 de área total, 73.76 de área privativa, 144.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408077906
 8444404538437 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA G, N. 212, LT50 LOTEAMENTO RECANTO DA BOA VISTA ;108.713,51;185.000,00;41.24;Casa, 0.00 de área total, 94.40 de área privativa, 171.78 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404538437
 8444402891997 ;AL ;ARAPIRACA ;BOA VISTA ;RUA EXISTENTE, N. 703, LT 03 QD E ;89.739,50;147.000,00;38.96;Casa, 98.74 de área total, 98.74 de área privativa, 157.50 de área do terreno,  1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402891997
 8444425174590 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA ANTONIO OTAVIO DE OLIVEIRA, N. 401, LT 12 QD Z ;146.953,08;240.000,00;38.77;Casa, 80.00 de área total, 80.68 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425174590
 1444407443978 ;AL ;ARAPIRACA ;SAO LUIZ ;RUA ADVOGADO MARIO CORREIA MACEDO, N. 103, LT 11 ;272.770,52;428.000,00;36.27;Casa, 150.68 de área total, 150.68 de área privativa, 330.60 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407443978
 1444409062467 ;AL ;ARAPIRACA ;SAO LUIZ ;RUA PEDRO VIEIRA SAMPAIO, N. 312, ;283.604,86;445.000,00;36.27;Casa, 146.10 de área total, 146.10 de área privativa, 249.75 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409062467
 1444408877645 ;AL ;ARAPIRACA ;MASSARANDUBA ;RUA PEDRO GALDINO DOS SANTOS, N. 19, LT 01 QD F ;432.255,15;432.255,15;0.00;Casa, 249.73 de área total, 80.30 de área privativa, 319.73 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408877645
 8444411265572 ;AL ;ARAPIRACA ;CANAFISTULA ;RUA PROJETADA A, N. 47, LT 05 QD B ;170.000,00;170.000,00;0.00;Casa, 0.00 de área total, 79.64 de área privativa, 135.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411265572
 8444413232795 ;AL ;ARAPIRACA ;BRASILIA ;RUA SAO JUDAS TADEU, N. 358, ;160.000,00;160.000,00;0.00;Casa, 95.85 de área total, 95.85 de área privativa, 182.36 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413232795
 8555516264683 ;AL ;ARAPIRACA ;VERDES CAMPOS ;RUA PROJETADA, N. 279, LT 40 QD B ;188.515,62;188.515,62;0.00;Casa, 80.75 de área total, 80.75 de área privativa, 169.08 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555516264683
 8555537921276 ;AL ;ARAPIRACA ;BOM SUCESSO ; RUA EM PROJETO B, N. 05, QUADRA. B ;122.000,00;122.000,00;0.00;Casa, 53.98 de área total, 53.98 de área privativa, 126.40 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537921276
 1444409497200 ;AL ;ARAPIRACA ;SENADOR NILO COELHO ;RUA PEDRO ALEXANDRE, N. 3610, LT 02 ;772.658,53;760.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1112.18 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409497200
 1444412805076 ;AL ;ARAPIRACA ;ZELIA BARBOSA ROCHA ;RUA GERALDO VENTURA DE OLIVEIRA, N. 224,  QD M ;187.893,52;180.000,00;0.00;Casa, 109.71 de área total, 109.71 de área privativa, 207.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412805076
 8444435648374 ;AL ;ARAPIRACA ;SENADOR NILO COELHO ;RUA EM PROJETO H, N. SN, Apto 804, BL 05 VG 175 LT 01 QD J ;161.955,80;75.000,00;0.00;Apartamento, 0.00 de área total, 47.67 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435648374
