
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555528096197 ;AM ;AUTAZES ;APARECIDA ;R JULIO LOBO, N. 173, ;74.780,36;125.000,00;40.18;Casa, 0.00 de área total, 84.00 de área privativa, 812.42 de área do terreno,  4 qto(s), varanda, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528096197
 10222108 ;AM ;AUTAZES ;JAIR MENEZES TUPINAM ;RUA 03, N. 00, ST 05, QD 07 ;279.143,66;438.000,00;36.27;Casa, 0.00 de área total, 324.00 de área privativa, 360.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222108
 8444406754986 ;AM ;BORBA ;CRISTO REI ;ESTRADA BORBA MAPIA, N. 1, CASA 01 ;51.394,23;92.000,00;44.14;Casa, 0.00 de área total, 63.00 de área privativa, 207.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406754986
 8444412162815 ;AM ;BORBA ;IPIRANGA ;RUA PROJETADA (AV SILVÉRIO NERY), N. SN, LT 03 ;53.260,44;92.000,00;42.11;Casa, 0.00 de área total, 60.00 de área privativa, 126.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412162815
 8787711211497 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;ROD CARLOS BRAGA KM8, N. SN, QD 37 LT 05 ;71.654,14;125.000,00;42.68;Casa, 0.00 de área total, 52.30 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711211497
 8787710605939 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO SANTO ANTONIO, N. SN, LT 21 QD 34 ;40.663,74;70.000,00;41.91;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710605939
 8555532493691 ;AM ;IRANDUBA ;CENTRO ;ESTRADA MANOEL URBANO, N. 8, Apto 203, BL C  - SUBCOND ORQUIDEA KM 09 LT 36 ;86.180,15;147.200,00;41.46;Apartamento, 0.00 de área total, 59.86 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532493691
 8787710637849 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; RUA IAGO DO MUDO, N. SN, LT 09 QD 34 KM 08 ;94.815,14;160.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710637849
 8787710966133 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO PATO, N. SN, LT 23 QD 31 ;106.074,43;179.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710966133
 8787711213570 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO GUEDES, N. SN, LT 29 QD 37 ;106.667,03;180.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711213570
 8787711334564 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO TESTE, N. SN, LT 13 QD 38 ;94.815,14;160.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711334564
 8787710874557 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA LAGO DO CACAU, N. SN, LT51 QD 31 ;113.629,74;188.000,00;39.56;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710874557
 8787711334327 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; RUA LAGO DO GUEDES, N. 14, LOTE 14 QUADRA 36 ;119.009,02;196.900,00;39.56;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711334327
 8787714315161 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA AÇUTUBA, N. SN, LOTE 28 QUADRA 12 ;114.838,57;190.000,00;39.56;Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714315161
 1787701025820 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; R. LAGO DO TESTE, N. 14, QD 38 LT 14 RES GOLDEN NOVA AMAZONAS ;123.933,45;196.900,00;37.06;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701025820
 8787714509934 ;AM ;IRANDUBA ;KM 08 ; RUA ACAJATUBA, N. 10, QD 41 ;183.729,39;180.000,00;0.00;Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714509934
 8787710732337 ;AM ;IRANDUBA ;KM 08 ; RUA LAGO DO PATO, N. 18, QD 31 ;167.552,63;160.000,00;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710732337
 8787710637733 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA LAGO DO PATO, N. KM 08, LT 23 QD 32 ;166.988,39;152.000,00;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710637733
 8787711289763 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO TESTE - ESTRADA CARLOS BRAGA KM 08, N. SN, LT 11 QD 38 ;166.949,95;140.000,00;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711289763
 8787707827446 ;AM ;IRANDUBA ;EST CARLOS BRAGA ; RUA PARQUE MINAS GERAIS, N. 41, QD 29 ;168.612,48;87.233,19;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707827446
 8787708493010 ;AM ;IRANDUBA ;EST CARLOS BRAGA ; RODOVIA MANOEL URBANO, N. 35, CS 35 QD 18 ;159.990,00;70.000,00;0.00;Terreno, 52.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708493010
 1444415385477 ;AM ;IRANDUBA ;KM 11 ; RODOVIA MANOEL URBANO, N. SN, LT 05 QD 45 KM 11 ;192.649,43;66.600,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415385477
