
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444401631519 ;BA ;ALAGOINHAS ;SILVA JARDIM ;RUA  PROFESSOR GUIOMAR  FLORENCE, N. 720, ;110.114,80;203.000,00;45.76;Casa, 0.00 de área total, 85.05 de área privativa, 102.87 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401631519
 8787710512027 ;BA ;ALAGOINHAS ;CATU ;AVENIDA CONSELHEIRO JUNQUEIRA, N. 249, ;70.507,67;123.000,00;42.68;Casa, 118.75 de área total, 40.50 de área privativa, 127.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710512027
 8555512380115 ;BA ;ALAGOINHAS ;MANGALO ;RUA DARCY RIBEIRO, N. 37, LT 20 ;86.063,06;147.000,00;41.46;Casa, 43.19 de área total, 43.19 de área privativa, 153.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512380115
 8787700796316 ;BA ;ALAGOINHAS ;NOVO HORIZONTE ;RUA PROJETADA (ORIG AV PAULO AFONSO), N. SN, Apto 302, BL 17 VG 277 ;87.233,99;149.000,00;41.46;Apartamento, 45.60 de área total, 45.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700796316
 8787700796618 ;BA ;ALAGOINHAS ;NOVO HORIZONTE ;ALAMEDA DAS AGUAS (PROJETADA DA AV PAULO AFONSO), N. SN, Apto 103, BL 10 VG 232 ;83.135,75;142.000,00;41.46;Apartamento, 45.60 de área total, 45.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700796618
 8787710367655 ;BA ;ALAGOINHAS ;CATU ;AVENIDA CONSELHEIRO JUNQUEIRA, N. 69 D, ;106.667,03;180.000,00;40.75;Casa, 118.75 de área total, 40.50 de área privativa, 127.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710367655
 1444418708153 ;BA ;ALAGOINHAS ;JARDIM PETROLAR ;RUA DUQUE DE CAXIAS, N. 820, LT 34 QD 26 ;88.518,56;145.000,00;38.96;Casa, 69.93 de área total, 69.93 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418708153
 1444405540550 ;BA ;ALAGOINHAS ;JARDIM PETROLAR ;RUA A, N. SN, Apto 203, LT 02 QD D ;165.064,40;259.000,00;36.27;Apartamento, 0.00 de área total, 74.63 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405540550
 8555539193855 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 303, BL 23 ;130.000,00;130.000,00;0.00;Apartamento, 43.65 de área total, 43.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539193855
 1444415870065 ;BA ;ALAGOINHAS ;CENTRO ;AVENIDA MARECHAL DEODORO, N. 446, ;1.044.193,23;875.000,00;0.00;Casa, 284.65 de área total, 284.65 de área privativa, 270.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415870065
 1555528152992 ;BA ;BARREIRAS ;BOA VISTA ;RUA T11, N. 150, CS140Q LT 01 02 03 QD 18 ;80.771,21;145.000,00;44.30;Casa, 0.00 de área total, 89.20 de área privativa, 81.92 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528152992
 8444413544738 ;BA ;BARREIRAS ;VILA AMORIM ;RUA PRESIDENTE MEDICI, N. 752, Apto  CAS, QD- XLVI ;112.375,57;201.000,00;44.10;Casa, 0.00 de área total, 65.53 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413544738
 8444413294758 ;BA ;BARREIRAS ;Lot Leopoldina Castr ;AVENIDA INTERNACIONAL, N. 1178, CS 002, QD G, LT 06 ;90.161,30;154.000,00;41.46;Casa, 53.05 de área total, 53.05 de área privativa, 75.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413294758
 8444413597890 ;BA ;BARREIRAS ;MORADA DA LUA ;RUA MARIA DO SOCORRO MOURA CHAGAS, N. 36, LT07B QD34 ;138.410,69;229.000,00;39.56;Casa, 69.93 de área total, 69.93 de área privativa, 150.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413597890
 1444415889165 ;BA ;BARREIRAS ;MORADA DA LUA ;RUA ALMIRA ALENCAR WANDERLEY, N. 672, QD 97 LT 14 ;192.532,65;318.000,00;39.46;Casa, 152.49 de área total, 152.49 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415889165
 8444407943782 ;BA ;BARREIRAS ;LOT MORADA DA LUA ;RUA MONTEIRO LOBATO, N. 777, Apto 001,  QD 7 LT18 ;87.297,61;143.000,00;38.96;Apartamento, 71.42 de área total, 71.42 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407943782
 8444401997759 ;BA ;BARREIRAS ;SAO MIGUEL ;RUA BELMONTE, N. 61, LT 05-B - QD H ;250.526,95;409.154,19;38.77;Casa, 164.00 de área total, 70.60 de área privativa, 180.00 de área do terreno,  1 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401997759
 8444413866018 ;BA ;BARREIRAS ;BARREIRAS ;RUA DAS ACACIAS, N. 719, LT 16-B, QD 17, 2 ETAPA ;145.116,17;237.000,00;38.77;Casa, 68.40 de área total, 68.90 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413866018
 8787702703390 ;BA ;BARREIRAS ;BANDEIRANTES ;RUA CARLOS DRUMOND DE ANDRADE, N. 391, Apto 101, BL B ;150.014,60;245.000,00;38.77;Apartamento, 68.55 de área total, 58.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702703390
 8444414095040 ;BA ;BARREIRAS ;BANDEIRANTES ;RUA HERMANTINO VIEIRA DE SOUZA, N. 1302, CS 01, 3720A ;217.483,50;350.000,00;37.87;Casa, 116.00 de área total, 90.00 de área privativa, 96.26 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414095040
 1444401581554 ;BA ;BARREIRAS ;LOT BRAGA E CIA ; RUA CARIBE, N. 182, CS 08 QD H LT 02 A 06 ;132.178,89;210.000,00;37.06;Casa, 82.36 de área total, 82.36 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401581554
