
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444423324110 ;CE ;AQUIRAZ ;CENTRO ;RUA JOSE SALOMAO, N. 462, QD M LT 05 ;106.667,03;180.000,00;40.75;Casa, 0.00 de área total, 72.72 de área privativa, 153.82 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423324110
 8444423735870 ;CE ;AQUIRAZ ;CABECEIRA DA ROÇA ;AVENIDA FRANCISCA TAVARES DE CASTRO, N. 291, LT 05 QD A ;100.741,08;170.000,00;40.75;Casa, 82.65 de área total, 82.65 de área privativa, 171.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423735870
 1444406878245 ;CE ;AQUIRAZ ;PAU POMBO ;RUA A, N. SN, LT 12 13 28 E 29 QD 02 ;423.814,01;665.000,00;36.27;Casa, 445.00 de área total, 445.00 de área privativa, 1584.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406878245
 1444418385893 ;CE ;AQUIRAZ ;LAGOINHA ;ALAMEDA DOS LIRIOS, N. SN, QD 26 LT 27 ;157.416,63;247.000,00;36.27;Casa, 103.18 de área total, 103.18 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418385893
 8444417625074 ;CE ;AQUIRAZ ;PLANAL NOVA AQUIRAZ ; RUA A, N. 84B, LT 09, QD B ;220.000,00;220.000,00;0.00;Casa, 69.48 de área total, 69.48 de área privativa, 195.18 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417625074
 8555535630916 ;CE ;AQUIRAZ ;TAPERA ;RUA ERNESTO BENTO DE FREITA, N. 856, CS 15 VAGA 15 ;152.000,00;152.000,00;0.00;Casa, 0.00 de área total, 77.00 de área privativa, 89.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555535630916
 10278239 ;CE ;ASSARE ;CENTRO ;RODVIA CE 176(EST QUE LIGA ARATAMA A ASSARE), N. SN, VILA ARATAMA ;427.000,00;427.000,00;0.00;Gleba, 0.00 de área total, 0.00 de área privativa, 16333.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10278239
 8787701962953 ;CE ;CAMOCIM ;JARDIM DAS OLIVEIRAS ; RUA SEBASTIÃO LOPES, N. 547, LT 02 ;88.990,38;152.000,00;41.46;Casa, 70.00 de área total, 70.00 de área privativa, 132.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701962953
 8444415179590 ;CE ;CANINDE ;SANTA LUCIA ;RUA JOSE ALVES CARDOSO, N. 1656, LT 17 QD 12 ;51.236,07;125.000,00;59.02;Casa, 0.00 de área total, 96.80 de área privativa, 175.35 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415179590
 1444413147811 ;CE ;CANINDE ;RIACHO SAO FRANCISCO ; RUA B, N. 161, ;98.816,70;160.000,00;38.24;Casa, 89.95 de área total, 89.95 de área privativa, 131.62 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413147811
 10202965 ;CE ;CARIRIACU ;PADRE CÍCERO ;RUA JOAQUIM ROMÃO BATISTA, N. 00, GLEBA A1-2 ;12.503,76;22.724,00;44.98;Terreno, 0.00 de área total, 0.00 de área privativa, 197.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10202965
 8444417033452 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ; RUA A, N. 2236-A, LOT RES JARDIM PRIMAVERA ;74.146,96;128.000,00;42.08;Casa, 72.35 de área total, 72.35 de área privativa, 135.57 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417033452
 8444409174620 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ; RUA 1, N. 1364, ;94.222,54;159.000,00;40.75;Casa, 0.00 de área total, 84.00 de área privativa, 145.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409174620
 8787700925205 ;CE ;CASCAVEL ;LT PRIME RES II ; JOSE QUARIGAZIL, N. 334, LT 14 QD 02 ;114.838,57;190.000,00;39.56;Casa, 84.00 de área total, 84.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700925205
 10217326 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 868, QD 17, PARTE LT 06 ;86.076,66;141.000,00;38.96;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217326
 10217328 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 862, QD 17, PARTE LT 06 ;96.963,89;157.000,00;38.24;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217328
 8444402516193 ;CE ;CASCAVEL ;MATA-QUIRI ; RUA 12, N. 667, ;116.443,31;185.000,00;37.06;Casa, 89.00 de área total, 89.00 de área privativa, 240.21 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402516193
 8444401336795 ;CE ;CASCAVEL ;CORRENTE ARGEMIRO ; RUA SAO SACRISTAO FRANCISCO JOSE DE OLIVEIRA, N. 618, QD 19 LT 10 ;203.000,00;203.000,00;0.00;Casa, 105.00 de área total, 105.00 de área privativa, 363.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401336795
 8444409313069 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ;RUA 01, N. 1357, ;142.500,00;142.500,00;0.00;Casa, 84.00 de área total, 84.00 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409313069
 8444411872150 ;CE ;CASCAVEL ;CORRENTES NEVES ; ESTRADA DO FIO TELÉGRAFO, N. 932, ;260.000,00;260.000,00;0.00;Casa, 99.93 de área total, 99.93 de área privativa, 183.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411872150
 8444408454564 ;CE ;CATUANA ;CATUANA ;R 26, N. 34, LOT ARATURI ;134.143,17;150.000,00;10.58;Casa, 0.00 de área total, 62.50 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408454564
 10193115 ;CE ;CAUCAIA ;TOCO JUREMA ;RUA 43, N. SN, QD 33, LTS 01 a 06 e 27 a 32 ;201.497,77;550.000,00;63.37;Terreno, 0.00 de área total, 0.00 de área privativa, 4680.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10193115
 8444403978603 ;CE ;CAUCAIA ;CAPUAN ;RUA PLACIDO ADERALDO CASTELO, N. 104, Apto 101, BL A ;38.883,44;105.000,00;62.97;Apartamento, 0.00 de área total, 57.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403978603
