
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10137653 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 04 ;334.986,63;700.000,00;52.15;Loja, 0.00 de área total, 79.15 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137653
 10137654 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 05 ;227.400,51;463.000,00;50.89;Loja, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137654
 8787700788089 ;DF ;BRASILIA ;RIACHO FUNDO II ;QUADRA QN 31, N. SN, Apto 403, BL 06 CJ 05 LT 1 E 2 ;84.095,49;155.973,69;46.09;Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700788089
 1787700255589 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 300, N. SN, Apto 103, BLOCO 16, LOTE RESIDENCIAL 301, VG N. ;235.806,29;400.000,00;41.05;Apartamento, 0.00 de área total, 189.34 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700255589
 8787707881424 ;DF ;BRASILIA ;RECANTO DAS EMAS ;QUADRA 118, N. S/N, LT 23, CONJ 2 ;176.037,54;287.500,00;38.77;Terreno, 110.00 de área total, 0.00 de área privativa, 127.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707881424
 10215739 ;DF ;BRASILIA ;ALTO DA BOA VISTA (SOBRADINHO) ;RODOVIA BR-020, N. 00, BL B, LT 12, ENTRE QUADRA 101/102 ;251.739,15;395.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215739
 1444401316648 ;DF ;BRASILIA ;ASA NORTE ;QUADRA SCRN 712/713, N. 46, Apto 302, BL H ;209.039,09;328.000,00;36.27;Apartamento, 0.00 de área total, 37.80 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401316648
 8097509756014 ;DF ;BRASILIA ;ASA NORTE ;CLN 410, N. SN, Apto 105, BL B QD 410 ;223.060,01;350.000,00;36.27;Apartamento, 68.57 de área total, 52.94 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8097509756014
 8787706040116 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 300 LOTE 301, N. S/N, Apto 302, BL 24 VG 270 LT 301 ;175.775,19;200.000,00;12.12;Apartamento, 138.95 de área total, 60.50 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706040116
 1444400617326 ;DF ;BRASILIA ;CEILANDIA NORTE (CEILANDIA) ;QNN-03, N. S/N, CONJUNTO P, LT 10 ;640.000,00;640.000,00;0.00;Casa, 0.00 de área total, 340.00 de área privativa, 250.00 de área do terreno, 4 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400617326
 1444400838233 ;DF ;BRASILIA ;TAGUATINGA ;AREA ESPECIAL N 3 SETOR H NORTE, N. SN, Apto 1204, TORRE B VG 96 SUB ;230.462,51;230.462,51;0.00;Apartamento, 94.43 de área total, 46.46 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400838233
 1555529145345 ;DF ;BRASILIA ;AREAL (AGUAS CLARAS) ;RUA 24 NORTE, N. SN, Apto 404, LT 09 11 TR B VAGA D94 ;455.000,00;455.000,00;0.00;Apartamento, 110.15 de área total, 58.23 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555529145345
 1787701030246 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 501, N. SN, Apto 03, BL E1 LT 06 CJ 02 ;148.000,00;148.000,00;0.00;Apartamento, 63.69 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701030246
 1787701031552 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;SETOR HABITACIONAL ITAPOA, N. 68, Apto 04, BL B2 LT 08 CJ 02 QD 501 ;159.000,00;159.000,00;0.00;Apartamento, 63.69 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701031552
 1787701253032 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;REGIAO ADMIN DO ITAPOA - XXVIII, N. SN, Apto 301, BL F1 LT 06 CJ 01 QD 501 ;186.000,00;186.000,00;0.00;Apartamento, 63.60 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701253032
 1787701561098 ;DF ;BRASILIA ;ITAPOA PARQUE ;SETOR HABITACIONAL ITAPOA, N. SN, Apto 204, BL D2 LT 05 CJ 02 QD 501 ;144.000,00;144.000,00;0.00;Apartamento, 46.40 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701561098
 8444416281258 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 400, N. SN, Apto 201, BL L LT 401 ;158.585,13;158.585,13;0.00;Apartamento, 62.73 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416281258
 8555519519194 ;DF ;BRASILIA ;SETOR HAB MANGUEIRAL ;AVENIDA MANGUEIRAL, N. 23, Apto D123, BL D1 DA RUA D QD QC14 VG D123 ;290.000,00;290.000,00;0.00;Apartamento, 0.00 de área total, 46.45 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519519194
 8555521024350 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 600, N. SN, Apto 202, LT 601, BL H, ;216.000,00;216.000,00;0.00;Apartamento, 72.09 de área total, 64.20 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521024350
 8555536267211 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 302, BL G LT 25 28 ;208.000,00;208.000,00;0.00;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536267211
 8787706049989 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;SETOR HABITACIONAL ITAPOA, N. SN, Apto 104, BL A2 LT 11 CJ 02 QD 502 ;155.000,00;155.000,00;0.00;Apartamento, 63.37 de área total, 46.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706049989
