
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10209013 ;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;RUA ALCEBÍADES JOSÉ SOBREIRA, N. 134a180 ;2.892.530,61;5.187.000,00;44.24;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 20005.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10209013
 8787700835168 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322 386, Apto 208, BL 03 VG 52 E 61 ;132.970,97;220.000,00;39.56;Apartamento, 88.50 de área total, 45.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700835168
 10208964 ;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;AVENIDA ARISTÓTELES MENICUCCI, N. 76 A 120 ;6.807.791,35;10.682.000,00;36.27;Galpão, 0.00 de área total, 10480.15 de área privativa, 11602.38 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208964
 1555526040496 ;ES ;CACHOEIRO DE ITAPEMIRIM ;AGOSTINHO SIMONATO ;AVENIDA JONES DOS SANTOS NEVES, N. 1142, Apto 601, BL A3 ;153.010,81;153.010,81;0.00;Apartamento, 84.13 de área total, 50.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526040496
 8787708019343 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 301, BL 15 VG 30/ 85 ;185.557,17;245.000,00;24.27;Apartamento, 70.80 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708019343
 8555520528681 ;ES ;CARIACICA ;RIO BRANCO ;RUA SANTA CATARINA, N. 37, Apto 803, QD 16 17 TR 01 ;319.000,00;319.000,00;0.00;Apartamento, 78.79 de área total, 51.71 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520528681
 8787712497858 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 501, BL 13 TÉRREO VG 47 ;180.000,00;180.000,00;0.00;Apartamento, 59.40 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712497858
 8787709931470 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 14 PAV 2 VG 141 ;163.000,00;149.000,00;0.00;Apartamento, 60.26 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709931470
 8444422787443 ;ES ;COLATINA ;SAO BRAZ ;RUA ANGELO MOROZINI, N. 30, LT 12 QD 02 ;443.000,00;443.000,00;0.00;Casa, 110.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422787443
 1444403949834 ;ES ;GUARAPARI ;PRAIA DO MORRO ;AVENIDA CELSO BASTOS COUTO, N. 1152, Apto 101, PAV 02 TIPO 01 ;295.000,00;295.000,00;0.00;Apartamento, 80.09 de área total, 50.54 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403949834
 1444419505094 ;ES ;ITAPEMIRIM ;PRAIA DE ITAIPAVA ; R DEOZOLINA VIANA DE AGUIAR, N. 181, CS 02 ;177.093,71;285.000,00;37.87;Casa, 122.96 de área total, 107.46 de área privativa, 250.70 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419505094
 8444421410656 ;ES ;LINHARES ;PLANALTO ;RUA CHARLES VENANCIO DE OLIVEIRA, N. SN, CS 01 LT 10 QD 25 ;205.452,74;270.000,00;23.91;Casa, 59.10 de área total, 59.10 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421410656
 1444406972578 ;ES ;LINHARES ;PLANALTO ;RUA EMERSON DA SILVA AGUIAR, N. 1345, CS 02 LT 06 QD 12 ;250.000,00;250.000,00;0.00;Casa, 75.14 de área total, 75.14 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406972578
 8444406411400 ;ES ;MONTANHA ;VINHÁTICO ; RUA MARECHAL DEODORO, N. 51, LOTE 02B ;84.892,14;145.000,00;41.46;Casa, 62.00 de área total, 62.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406411400
 1444405436419 ;ES ;MUCURICI ;SOSTENES F DA SILVA ; RUA RAILDO FERREIRA DA SILVA, N. 40, ;309.097,44;485.000,00;36.27;Casa, 357.49 de área total, 357.49 de área privativa, 650.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405436419
 1555531376049 ;ES ;MUQUI ;BOA ESPERANÇA ;RUA JOAQUIM FORTUNATO, N. 31, ;220.000,00;220.000,00;0.00;Casa, 0.00 de área total, 163.52 de área privativa, 94.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555531376049
 1444419128614 ;ES ;SAO MATEUS ;AYRTON SENNA ;RUA DAS VIOLETAS, N. 27, QD 13 LT 02 ;213.500,29;335.000,00;36.27;Casa, 123.60 de área total, 123.60 de área privativa, 219.61 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419128614
 8055600005527 ;ES ;SAO MATEUS ;Guriri ;RUA JOSE VIEIRA DOS SANTOS, N. 582, LT 21 QD 30 ;248.552,58;390.000,00;36.27;Casa, 155.80 de área total, 109.80 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8055600005527
 8444424580269 ;ES ;SAO MATEUS ;AYRTON SENNA ;RUA FLAMBOAIANT, N. 195, LT 14 QD C ;165.842,57;85.500,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424580269
 8787702556533 ;ES ;SERRA ;OURIMAR ;RUA DOMINEU RODY SANTANA, N. 406, Apto 401, BL 04 VG 13 ;80.233,38;138.507,00;42.08;Apartamento, 60.73 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702556533
 8787710096627 ;ES ;SERRA ;SAO PATRICIO ;RUA SAO PAULO, N. 1163, Apto 201, BLOCO 03 VAGA 261 ;104.296,65;176.000,00;40.75;Apartamento, 64.37 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710096627
