
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444418444855 ;GO ;ABADIANIA ;RES. LEBLON ;QUADRA 08, N. SN, LT 17 R XV DE SETEMBRO ;79.829,36;143.528,99;44.39;Casa, 80.45 de área total, 80.45 de área privativa, 229.12 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418444855
 8056600015547 ;GO ;ACREUNA ;LOT SETOR CANADA ;RUA JOVELINO LOURENÇO SIPRIANO, N. SN, LT 39 QD 41 ;57.721,26;100.000,00;42.28;Casa, 0.00 de área total, 59.33 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8056600015547
 8444424927838 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, Apto 103, LT 16-B ;13.018,95;106.000,00;87.72;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424927838
 8444425766536 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QD 85 CONJUNTO A RUA 38, N. S/N, Apto 201, QD 85, BL N, ST 11, CJ A ;20.497,98;160.000,00;87.19;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425766536
 8787703682710 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. S/N, Apto 101, LT 02, RUA 18 ;19.951,23;150.000,00;86.70;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703682710
 8787706340047 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 202, LOTE 03, RUA 18 ;18.887,17;142.000,00;86.70;Apartamento, 74.22 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706340047
 8444425097723 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 06, LT 16B ;17.307,39;117.000,00;85.21;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425097723
 8444422653323 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 302, Lote 16-B ;23.069,25;129.500,00;82.19;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422653323
 8787703562642 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 102, LOTE 05 TERREO ;30.312,07;155.000,00;80.45;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703562642
 8444421904152 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES IMPERATRIZ ;QUADRA 8, N. 33A, CS E, LT08 ;28.604,13;140.000,00;79.57;Casa, 0.00 de área total, 64.45 de área privativa, 158.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421904152
 8444420550985 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;RUA TREZE, N. SN, Apto 101, TERREO LOTE 04 QUADRA 43 ;34.195,37;153.000,00;77.66;Apartamento, 0.00 de área total, 62.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420550985
 8787706931886 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA QUADRA 72, N. SN, Apto 201, LOT 03 RUA 18 BOX 03 ;35.537,24;157.000,00;77.37;Apartamento, 0.00 de área total, 63.81 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706931886
 8444414793278 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ILHA BELA ;AVENIDA 3, N. SN, Apto 201, QD D03, CONJ A, LT 1A38 ;31.736,88;135.000,00;76.50;Apartamento, 0.00 de área total, 52.87 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414793278
 8444419722611 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ODISSEIA ;QUADRA 18B, N. SN, RUA 09 LT 14 SOBRADO 1 BL A ;36.458,30;145.000,00;74.86;Casa, 0.00 de área total, 86.70 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419722611
 8444428036148 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 44, N. SN, Apto 202, LT 03 ;41.252,62;162.000,00;74.54;Apartamento, 0.00 de área total, 58.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428036148
 8444422666794 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 102, 1PAV LT16B ;26.406,56;103.000,00;74.37;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422666794
 8444401855482 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 65, N. 15, LT 2A 9 ;31.698,05;116.000,00;72.68;Casa, 0.00 de área total, 56.20 de área privativa, 312.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401855482
 8444418094889 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES POR DO SOL ;QUADRA B 33, N. SN, Apto 203, BL D, LT 12A, AVENIDA 5 ;34.048,08;124.600,00;72.68;Apartamento, 0.00 de área total, 49.76 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418094889
 8444428350349 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 44, N. SN, Apto 102, LT 03 - RUA 01 ;33.884,12;124.000,00;72.68;Apartamento, 0.00 de área total, 58.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428350349
 8444418294098 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO ;RUA 41, N. SN, Apto 101, BL C VAGA DE GARAGEM 09 ;37.297,67;135.000,00;72.38;Apartamento, 0.00 de área total, 48.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418294098
