
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555517770886 ;MA ;ACAILANDIA ;CENTRO ; RUA BRASIL, N. 250, JACU, VILA MARANHAO ;76.743,93;127.000,00;39.58;Casa, 65.25 de área total, 65.25 de área privativa, 165.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517770886
 8444410671836 ;MA ;ACAILANDIA ;JARDIM GLORIA CITY ; RUA ANGELIM, N. SN, QD 85 LT 04 ;120.882,70;200.000,00;39.56;Casa, 65.67 de área total, 65.67 de área privativa, 180.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410671836
 1444406928951 ;MA ;ACAILANDIA ;AÇAILÂNDIA ; RUA MONTEIRO LOBATO, N. SN, LT 26, QD 18 ;143.823,22;228.500,00;37.06;Casa, 116.65 de área total, 116.65 de área privativa, 225.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406928951
 10214479 ;MA ;ACAILANDIA ;. ;AVENIDA JOÃO CASTELO, N. 134, PEQUIÁ ;158.053,95;248.000,00;36.27;Comercial, 0.00 de área total, 140.36 de área privativa, 207.93 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214479
 1444402740583 ;MA ;ACAILANDIA ;JARDIM BELA VISTA ; RUA DAS CHÁCARAS, N. SN, LT 13, QD 03 ;557.968,67;875.500,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 3088.58 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402740583
 1444406164366 ;MA ;ACAILANDIA ;MONTE SINAI ;RUA DAS OLIVEIRAS, N. SN, QD18 LT3A-2 ;252.376,46;396.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1409.40 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406164366
 1444421918996 ;MA ;ACAILANDIA ;JARDIM DE ALAH ; RUA 14, N. 10, QUADRA 46 ;641.211,54;641.211,54;0.00;Casa, 346.46 de área total, 346.46 de área privativa, 330.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421918996
 8444421202107 ;MA ;APICUM-ACU ;MANGUEIRÃO ;RUA MANOEL VIANA, N. 42, ;105.000,00;105.000,00;0.00;Casa, 61.75 de área total, 61.75 de área privativa, 270.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421202107
 10215806 ;MA ;BACABAL ;ESPERANÇA ;RUA 10 DE NOVEMBRO, N. 300-A, LT 300 A ;813.850,36;1.277.000,00;36.27;Casa, 0.00 de área total, 355.79 de área privativa, 3482.50 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215806
 8444426976771 ;MA ;BACABAL ;ESTR DA BELA VISTA ; RUA CATARATAS DO IGUACU, N. SN, CS 04 QD 25 ;92.884,76;84.000,00;0.00;Casa, 36.15 de área total, 36.15 de área privativa, 169.71 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426976771
 8555511727120 ;MA ;BOM JARDIM ;CENTRO ;RUA SANTO ANTONIO, N. 10, . ;26.263,17;91.000,00;71.14;Casa, 0.00 de área total, 76.57 de área privativa, 113.92 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555511727120
 8444415604371 ;MA ;BREJO ;CENTRO ; RUA FRANCISCO ALVES FRANCO, N. 01, ;100.634,85;185.000,00;45.61;Casa, 0.00 de área total, 81.97 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415604371
 8444415930597 ;MA ;BURITICUPU ;CENTRO ;RUA PROJETADA 03, N. 3, . ;33.434,38;117.000,00;71.43;Casa, 0.00 de área total, 79.95 de área privativa, 153.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415930597
 1444402969300 ;MA ;BURITICUPU ;CENTRO ; RUA DUQUE DE CAXIAS, N. 765, ;207.603,76;340.000,00;38.95;Casa, 0.00 de área total, 275.30 de área privativa, 894.45 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402969300
 8444416807780 ;MA ;CHAPADINHA ;PARQUE UNIVERSITÁRIO ; RUA DA MATEMATICA, N. 01, ;58.651,40;135.000,00;56.56;Casa, 0.00 de área total, 68.00 de área privativa, 154.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416807780
 8555520131374 ;MA ;CHAPADINHA ; NOVO CASTELO ;RUA 28 DE MARCO, N. 16, . ;97.016,65;177.500,00;45.35;Casa, 0.00 de área total, 120.00 de área privativa, 148.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520131374
 1555508119205 ;MA ;CHAPADINHA ;SÃO JOSÉ ; TRAVESSA DA CORRENTE, N. 819, ;133.909,80;230.000,00;41.78;Casa, 0.00 de área total, 133.00 de área privativa, 129.02 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555508119205
 10211333 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. SN, LT 07 ;77.771,20;132.000,00;41.09;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211333
 10211340 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. SN, LT 06 ;75.414,50;128.000,00;41.09;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211340
 8555517014990 ;MA ;CHAPADINHA ;CENTRO ;RUA PROJETADA, N. 8, CS 08 LT 08 BAIRRO CATERPILLAR ;96.000,33;162.000,00;40.75;Casa, 0.00 de área total, 68.18 de área privativa, 150.69 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517014990
 1444416787404 ;MA ;CHAPADINHA ;BOA VISTA ; RUA 03, N. 14, QD 01 ;127.458,22;202.500,00;37.06;Casa, 192.52 de área total, 192.52 de área privativa, 1184.40 de área do terreno,  3 qto(s), a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416787404
 10274830 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. 00 ;128.000,00;128.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10274830
 10274831 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. 00 ;133.000,00;133.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10274831
 10274832 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. 00 ;133.000,00;133.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10274832
