
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444408863707 ;MG ;ALFENAS ;JARDIM PRIMAVERA ;ALAMEDA DAS MAGNOLIAS, N. 687, LT 42, QD 32 ;76.919,57;140.000,00;45.06;Casa, 0.00 de área total, 79.00 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408863707
 1555539999061 ;MG ;ALMENARA ;CENTRO ; R CANDIDO MARES, N. 601, Apto 1, CS 601 ;212.225,66;370.000,00;42.65;Apartamento, 0.00 de área total, 310.44 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555539999061
 1444409348506 ;MG ;ALMENARA ;CENTRO ;RUA CANDIDO MARES, N. 601, Apto 201, ;223.060,01;350.000,00;36.27;Apartamento, 94.93 de área total, 94.93 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409348506
 8555534639596 ;MG ;ANDRADAS ;JARDIM MUTERLE ; R. CASSITERITA, N. 215, Apto P-13, BLOCO P-13, UNIDADE AUTÔNOMA P-13.4 ;96.000,33;162.000,00;40.75;Apartamento, 58.67 de área total, 49.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534639596
 1444418318142 ;MG ;ANDRADAS ;JARDIM MANTIQUEIRA ;RUA MARIA DE ALMEIDA RIBEIRO, N. 71, LOTE 133 QUADRA C ;129.031,78;205.000,00;37.06;Casa, 43.00 de área total, 43.00 de área privativa, 300.00 de área do terreno,  1 qto(s), WC, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418318142
 10211829 ;MG ;ANGELANDIA ;CENTRO ;RUA CLEMENTE CELESTINO DE ALMEIDA, N. 167 ;239.791,10;385.900,00;37.87;Galpão, 0.00 de área total, 212.65 de área privativa, 418.23 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211829
 8444405226935 ;MG ;ARACUAI ;ALTO SANTUARIO ;RUA MATO GROSSO, N. SN, . ;84.878,38;145.400,00;41.63;Casa, 0.00 de área total, 99.20 de área privativa, 273.61 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405226935
 1444418273149 ;MG ;ARAGUARI ;CENTRO ;PRACA GAIOSO NEVES, N. 208, ;542.035,80;945.000,00;42.65;Casa, 0.00 de área total, 225.32 de área privativa, 357.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418273149
 8444417766972 ;MG ;ARAGUARI ;OURO VERDE ;AVENIDA BELO HORIZONTE, N. 55, QUADRA 04, LOTE 06 ;312.000,00;312.000,00;0.00;Casa, 167.85 de área total, 167.85 de área privativa, 348.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417766972
 8787702277855 ;MG ;ARAGUARI ;SAO SEBASTIAO ;RUA E, N. 1041, LT 04 QD 16 ;165.000,00;165.000,00;0.00;Casa, 49.79 de área total, 49.79 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702277855
 8444425783627 ;MG ;ARAUJOS ;ANTONIA DE LOURDES ; RUA DAS NAÇÕES ESQUINA COM RUA ESPIRITO SANTO, N. 794, Apto 202, BL B ;42.987,38;74.000,00;41.91;Apartamento, 113.43 de área total, 51.89 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425783627
 8444426628196 ;MG ;ARAUJOS ;CHIQUINHO PERCÍLIA ; RUA DIVINA CARDOSO, N. 1295, LT 14 QD 14 ;150.000,00;150.000,00;0.00;Casa, 57.24 de área total, 57.24 de área privativa, 476.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426628196
 8444409966747 ;MG ;ARCOS ;CIDADE NOVA ;AVENIDA DOUTOR JOAO VAZ SOBRINHO, N. 55,  LT 03 QD 03 ;172.000,00;172.000,00;0.00;Casa, 0.00 de área total, 67.67 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409966747
 8787709680027 ;MG ;ARCOS ;GERALDO CESARIO ;RUA ALFA, N. 25, LT 03 QD 20 ;100.000,00;100.000,00;0.00;Casa, 0.00 de área total, 40.83 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709680027
 8444414147570 ;MG ;AREADO ;ROSÁRIO ;R BAHIA, N. 691, ;60.392,76;100.000,00;39.61;Casa, 0.00 de área total, 48.45 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414147570
 8444421615509 ;MG ;AREADO ;ROSÁRIO ; RUA BAHIA, N. 429, ;57.977,05;96.000,00;39.61;Casa, 68.55 de área total, 68.55 de área privativa, 118.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421615509
 8444410071979 ;MG ;AREADO ;ROSÁRIO ; RUA NOVE, N. 39, LT 06, QD L ;111.816,50;185.000,00;39.56;Casa, 69.75 de área total, 69.75 de área privativa, 132.53 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410071979
 8444425807720 ;MG ;AREADO ;LOT RECANTO VERDE ;RUA TRES, N. 99, LT 13 QD D ;114.838,57;190.000,00;39.56;Casa, 0.00 de área total, 66.08 de área privativa, 163.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425807720
 8444423243862 ;MG ;AREADO ;SÃO VICENTE ; RUA PADRE ANTONIO HENRIQUES DO VALE, N. 877, 877 ;98.816,70;160.000,00;38.24;Casa, 76.50 de área total, 52.50 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423243862
 8444424148456 ;MG ;AREADO ;ROSÁRIO ; RUA JOSE BONIFACIO, N. 870, ;136.000,00;136.000,00;0.00;Casa, 69.86 de área total, 69.86 de área privativa, 134.81 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424148456
 8444403674205 ;MG ;ARGIRITA ;CENTRO ; RUA EMILIO VITOI, N. 207, 207 ;104.036,76;177.318,00;41.33;Casa, 0.00 de área total, 115.53 de área privativa, 359.11 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403674205
 1555520355622 ;MG ;BAMBUI ;LOT PARQUE INDUSTRIA ;RUA ANTONIO DOS SANTOS MOREIRA, N. 204, LT 03 QD 05 ;200.000,00;200.000,00;0.00;Comercial, 235.00 de área total, 235.00 de área privativa, 1375.00 de área do terreno, 4 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555520355622
 8555526075387 ;MG ;BAMBUI ;CIDADE NOVA ; RUA JOSE MANOEL GOMES, N. 450, LT 23 QD 22 ;161.000,00;161.000,00;0.00;Casa, 115.32 de área total, 115.32 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555526075387
