
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444406898953 ;MS ;AQUIDAUANA ;SANTA TEREZINHA ; RUA DOS EXPEDICIONARIOS, N. 1786, LT 31 QD 507 ;92.444,76;156.000,00;40.75;Casa, 69.86 de área total, 69.86 de área privativa, 396.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406898953
 1555507896020 ;MS ;AQUIDAUANA ;Guanandy ;R MANOEL A. P. DE BARROS, N. 1831, LT 12 QD 83 ;229.433,15;360.000,00;36.27;Casa, 0.00 de área total, 246.01 de área privativa, 936.25 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555507896020
 8444408127830 ;MS ;AQUIDAUANA ;CAMPELO ; RUA BERNADINO LOPES, N. 05, CS A ;175.000,00;175.000,00;0.00;Casa, 62.84 de área total, 62.84 de área privativa, 186.56 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408127830
 8444414936109 ;MS ;AQUIDAUANA ;CENTRO ; RUA CARLOS CAMISAO, N. 1017, LT 10 QD 504 ;300.000,00;300.000,00;0.00;Casa, 120.00 de área total, 120.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414936109
 1444419336764 ;MS ;BATAGUASSU ;RES MODELO III ; RUA PROF LAIR ALVES LIMA DE MORAES, N. 182, LT 02 QD H ANTIGA RUA G ;396.409,49;622.000,00;36.27;Casa, 239.40 de área total, 239.40 de área privativa, 414.02 de área do terreno,  3 qto(s), a.serv, WC, 3 sala(s), 1 lavabo(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419336764
 8444403235139 ;MS ;BELA VISTA ;NU HAB DE BELA VISTA ; RUA TENENTES HERMES IGNACIO DE AZEVEDO, N. 104, LT 05 QD 05 ST 03 ;280.000,00;280.000,00;0.00;Casa, 148.00 de área total, 39.32 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403235139
 8555521980979 ;MS ;CAMPO GRANDE ;PARQUE RESIDENCIAL RITA VIEIRA ;RUA CESAR RAMOS DOS SANTOS, N. 351, Apto 122, LT Z3X BL H GENIPARU ;102.750,29;200.000,00;48.63;Apartamento, 0.00 de área total, 42.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521980979
 8555511338530 ;MS ;CAMPO GRANDE ;Varanda do Campo ;RUA JOSÉ PEDROSSIAN, N. 1227, Apto 04, BL 22, QD 03, LT 01 ;59.257,55;114.000,00;48.02;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555511338530
 10170149 ;MS ;CAMPO GRANDE ;AMAMBAI ;AVENIDA AFONSO PENA(ATUAL AV MARECHAL MALLET), N. S/N, QD 377, LT 20, ESQUINA RUA DO BANANAL ;41.989,26;80.000,00;47.52;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10170149
 8444419789716 ;MS ;CAMPO GRANDE ;NOVA LIMA ;TRAVESSA MACUIM, N. 62, CS 01, LT 03, QD 52 ;91.389,55;170.000,00;46.25;Casa, 0.00 de área total, 53.79 de área privativa, 119.30 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419789716
 8787700208481 ;MS ;CAMPO GRANDE ;JARDIM CENTENARIO ;RUA JOSE CARLOS SILVA DE ALMEIDA, N. 180, Apto 21, BL D LT 4AM VG D21 ;81.232,99;150.000,00;45.85;Apartamento, 0.00 de área total, 42.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700208481
 8444416509860 ;MS ;CAMPO GRANDE ;JARDIM CENTRO OESTE ;RUA LEVI PEREIRA, N. 550, CASA 07 ;112.058,26;206.000,00;45.61;Casa, 0.00 de área total, 58.84 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416509860
 8444417755644 ;MS ;CAMPO GRANDE ;LOS ANGELES ;RUA ARTUR PIRES, N. 125, LT 07, QD 46, CS 03 ;115.866,07;213.000,00;45.61;Casa, 0.00 de área total, 75.63 de área privativa, 149.74 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417755644
 8555530697931 ;MS ;CAMPO GRANDE ;PIONEIROS ;AVENIDA SENADOR ANTONIO MENDES CANALE, N. 725, Apto 304, BL 14 LT 1C VG 288 ;125.113,59;230.000,00;45.61;Apartamento, 0.00 de área total, 46.18 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530697931
 8555512521673 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA CABREUVA, N. 107, Apto 03, BL 02 LOT VARANDAS DO CAMPO ;65.348,57;120.000,00;45.55;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512521673
 8444414273460 ;MS ;CAMPO GRANDE ;RIVIERA PARK ;RUA JORNALISTA JOSE FILINTO DA SILVA, N. 375, CS 02 ;94.281,79;172.000,00;45.19;Casa, 0.00 de área total, 59.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414273460
 8444411029747 ;MS ;CAMPO GRANDE ;VILA NOVA CAMPO GRANDE ;RUA 105, N. 128, CS 02 ;128.029,88;229.000,00;44.10;Casa, 0.00 de área total, 73.35 de área privativa, 154.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411029747
 10198061 ;MS ;CAMPO GRANDE ;VILA SANTA LUZIA ;RUA ABRAAO BACACH, N. SN, LT A4 CA ;2.400.418,50;4.250.000,00;43.52;Terreno, 0.00 de área total, 0.00 de área privativa, 22892.98 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10198061
 8001708019970 ;MS ;CAMPO GRANDE ;VILA SANTA LUZIA ;RUA SANTA MONICA, N. 433, QD 25 LT 14 ;163.793,26;290.000,00;43.52;Casa, 0.00 de área total, 63.53 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8001708019970
 1444416527216 ;MS ;CAMPO GRANDE ;JARDIM CENTENARIO ;RUA ITAITUBA, N. 258, Apto 103, BL E ;63.460,77;112.000,00;43.34;Apartamento, 48.14 de área total, 44.98 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416527216
 1444419521464 ;MS ;CAMPO GRANDE ;JARDIM SAO CONRADO ;AVENIDA GENERAL ALBERTO CARLOS MENDONCA, N. 2398, Apto 104, BL I,  LT 12-A, QD 119 ;91.405,44;160.000,00;42.88;Apartamento, 0.00 de área total, 51.22 de área privativa, 544.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419521464
