
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555508847217 ;PB ;ALHANDRA ;CENTRO ;VIA LOCAL 4, N. SN, LTS 11, 12, 13 E 14C, QD D ;19.327,09;120.000,00;83.90;Casa, 0.00 de área total, 59.52 de área privativa, 114.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508847217
 8444412249643 ;PB ;ALHANDRA ;DIST DE MATA REDONDA ;RUA LOCAL 06, N. SN, QD D LT 65/66-A ;46.650,94;121.943,28;61.75;Casa, 0.00 de área total, 61.12 de área privativa, 159.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412249643
 8444409363813 ;PB ;ALHANDRA ;LT 25 QD 18 ;RUA PROJETADA, N. SN, CASA A ;51.281,61;110.000,00;53.39;Casa, 77.60 de área total, 43.86 de área privativa, 100.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409363813
 8444406827860 ;PB ;ALHANDRA ;LOT PORTAL DAS PRAIA ; RUA LOCAL 05, N. SN, LT 111 QD E ;59.023,95;120.000,00;50.82;Casa, 0.00 de área total, 59.95 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406827860
 8555508844013 ;PB ;ALHANDRA ;Mata Redonda ;VIA LOCAL 04, N. SN, Apto ., LT 11,12,13,14-A, QD D ;56.922,30;110.000,00;48.26;Casa, 0.00 de área total, 59.52 de área privativa, 114.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508844013
 8444420618601 ;PB ;ALHANDRA ;LOT ASA BRANCA ; RUA VIA DE ACESSO 01, N. SN, LT 16, QD A ;75.305,50;130.000,00;42.08;Casa, 65.47 de área total, 65.47 de área privativa, 129.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420618601
 8444412464641 ;PB ;BARRA DE SANTA ROSA ;LOT SANTA ROSA ;RUA JOAO INACIO DA COSTA, N. SN, LT 11D5 QD D ;27.610,14;100.000,00;72.39;Casa, 0.00 de área total, 69.90 de área privativa, 162.96 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412464641
 8444416929452 ;PB ;BARRA DE SANTA ROSA ;LOTEAMENTO SANTA ROS ;AVENIDA SAO JORGE, N. SN, QD B LT 05 ;36.645,44;103.500,00;64.60;Casa, 0.00 de área total, 76.20 de área privativa, 176.47 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416929452
 8444408238071 ;PB ;BARRA DE SANTA ROSA ;Centro ;RUA PROJETADA 03, N. SN, CS 103 ;50.070,98;93.000,00;46.17;Casa, 0.00 de área total, 59.78 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408238071
 8444409139735 ;PB ;BAYEUX ;CENTRO ;RUA PROJETADA, N. 171, CS 03, QD D, LT 02 ;29.303,55;94.000,00;68.83;Casa, 0.00 de área total, 62.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409139735
 8444405972955 ;PB ;BAYEUX ;LT LUIZ FELIPE III ; RUA VEREADOR DOGIVAL DANTAS, N. 265, CS 02 ;33.088,66;71.200,00;53.53;Casa, 0.00 de área total, 46.57 de área privativa, 93.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405972955
 8444412678064 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 129, CASA 01 ;67.308,35;144.000,00;53.26;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412678064
 8444416990933 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, CS 02 QD16 LT E ;59.444,27;122.000,00;51.28;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416990933
 8444415707790 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 137, QD 12, LT A7, CS 01 ;71.839,84;145.812,92;50.74;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415707790
 8444416926763 ;PB ;BAYEUX ;ALTO DA BOA VISTA ;AVENIDA JOSE JOAQUIM DE MELO, N. 744, LT 18, QD 22, CS 101 ;62.685,62;124.000,00;49.45;Casa, 0.00 de área total, 56.00 de área privativa, 380.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416926763
 8444426982224 ;PB ;BAYEUX ;MARIO ANDREAZZA ;RUA SAO JOAO BATISTA, N. 95, CASA 05 ;62.685,62;124.000,00;49.45;Casa, 0.00 de área total, 47.75 de área privativa, 800.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426982224
 8444405847913 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 255, CS 01 ;57.599,74;112.000,00;48.58;Casa, 0.00 de área total, 46.57 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405847913
 8444408858584 ;PB ;BAYEUX ;AREA RURAL DE BAYUEX ; RUA PROJETADA, N. 171, CS 02, LT. COLINA VERDE ;55.028,33;107.000,00;48.58;Casa, 0.00 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408858584
 8444406149314 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NOVE DE NOVEMBRO, N. 72, CS B ;62.425,08;121.000,00;48.41;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406149314
 8444417481803 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, QD 16 LT E ;58.865,31;114.100,00;48.41;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417481803
 8555512688624 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA DA NATIVIDADE, N. 40, CS 03 ;49.080,65;94.200,00;47.90;Casa, 0.00 de área total, 44.00 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512688624
