
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555508493679 ;PE ;ABREU E LIMA ;MATINHA ;RUA CASTRO ALVES, N. 649, Apto 0, CASA C ;27.641,47;131.415,03;78.97;Casa, 0.00 de área total, 63.09 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508493679
 8444421840910 ;PE ;ABREU E LIMA ;DESTERRO ;RUA ALAMEDA JACARANDA, N. 3, CASA 03-A ;47.999,79;105.000,00;54.29;Casa, 0.00 de área total, 48.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421840910
 8444400648165 ;PE ;ABREU E LIMA ;TIMBO ;RUA PASTOR JORGE ROSAS, N. 566 E, . ;44.590,37;85.000,00;47.55;Casa, 0.00 de área total, 78.52 de área privativa, 1302.40 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400648165
 8444422390721 ;PE ;ABREU E LIMA ;DESTERRO ;RUA PRESBITERO MANOEL RODRIGUES, N. 651, Apto 102, LT 10 ;78.148,54;148.312,90;47.31;Apartamento, 0.00 de área total, 48.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422390721
 8787701412201 ;PE ;ABREU E LIMA ;PLANALTO ;RUA PROJETADA, N. 66, Apto 303, BL A, DUPLEX 2 ;75.817,45;140.000,00;45.85;Apartamento, 0.00 de área total, 49.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701412201
 8444418461172 ;PE ;ABREU E LIMA ;DESTERRO ;RUA ROSA PEREIRA DA CRUZ, N. 756, Apto 101, ;72.988,41;126.000,00;42.08;Apartamento, 51.54 de área total, 51.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418461172
 8444429072113 ;PE ;ABREU E LIMA ;JARDIM CAETES ;AVENIDA DUQUE DE CAXIAS, N. 380, Apto 01, PAV TERREO ;81.964,82;140.000,00;41.46;Apartamento, 52.53 de área total, 52.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429072113
 8444406483141 ;PE ;ABREU E LIMA ;DESTERRO ;RUA PRESBITERO MANOEL RODRIGUES (RUA NATIVIDADE), N. 666, CS 04 ;94.815,14;160.000,00;40.75;Casa, 55.48 de área total, 55.48 de área privativa, 480.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406483141
 8444404823328 ;PE ;ABREU E LIMA ;DESTERRO ;RUA PROJETADA, N. 101, LT A A 4, QD XXX ;58.580,98;97.000,00;39.61;Casa, 0.00 de área total, 57.57 de área privativa, 141.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404823328
 8444431103675 ;PE ;ABREU E LIMA ;DESTERRO ;RUA DOUTOR WALTER BELLIAN, N. 515, Apto 03, LT 07 QD K ;155.602,00;145.000,00;0.00;Apartamento, 45.94 de área total, 45.94 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431103675
 8444430441399 ;PE ;ABREU E LIMA ;DESTERRO ; RUA PROJETADA 01, N. 60, Apto 103,  1A5 ;184.560,50;170.607,57;0.00;Apartamento, 53.40 de área total, 49.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430441399
 8787715607522 ;PE ;ABREU E LIMA ;PLANALTO ;RUA ESTACAO DO CAJA, N. S/N, Apto 204, BL F ;185.000,00;165.500,00;0.00;Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715607522
 8787715513749 ;PE ;ABREU E LIMA ;PLANALTO ;RUA ESTACAO DO CAJA, N. SN, Apto 203, BL E ;185.000,00;164.000,00;0.00;Apartamento, 83.07 de área total, 46.84 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715513749
 8444420399470 ;PE ;ABREU E LIMA ;DESTERRO ;RUA ALAMEDA CUMARU, N. 179, Apto 01, TÉRREO ;167.243,20;121.500,00;0.00;Apartamento, 49.80 de área total, 49.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420399470
 8555504374500 ;PE ;ABREU E LIMA ;CAETES I ;RUA CENTO E SETENTA E DOIS, N. 56, LT 06 QD 193 ;198.206,20;95.000,00;0.00;Casa, 27.81 de área total, 27.81 de área privativa, 200.00 de área do terreno, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555504374500
 8444407079476 ;PE ;AFOGADOS DA INGAZEIRA ;SAO FRANCISCO ;RUA PROJETADA, N. 146, LOT 29 QD H ;75.884,78;131.000,00;42.08;Casa, 91.00 de área total, 79.76 de área privativa, 120.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407079476
 8444419928970 ;PE ;AGRESTINA ;CENTRO ;RUA BERNARDINO JOSE DE OLIVEIRA, N. 487, QD D LT 08 ;51.347,63;117.442,67;56.28;Casa, 0.00 de área total, 66.49 de área privativa, 126.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419928970
 10275030 ;PE ;AGUAS BELAS ;CENTRO ;RUA JOSEFINA GAMA BEZERRA, N. 72-A, IPANEMA ;1.728.168,05;1.400.000,00;0.00;Comercial, 0.00 de área total, 717.76 de área privativa, 255.63 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275030
 8444415845689 ;PE ;ALAGOINHA ;CENTRO ; RUA CAPITÃO NECO GALINDO, N. 218, ;44.599,41;83.000,00;46.27;Casa, 0.00 de área total, 62.04 de área privativa, 72.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415845689
 1444401881892 ;PE ;ALIANCA ;CENRO ;RUA GETULIO VARGAS, LT 10 ;22.144,28;134.000,00;83.48;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401881892
 8444422523586 ;PE ;ALIANCA ;CENTRO ; RUA PROJETADA 01, N. 12, ;66.495,04;116.000,00;42.68;Casa, 58.00 de área total, 58.00 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422523586
 8444427365032 ;PE ;ALIANCA ;Aliança ; RUA PROJETADA 01, N. 300, LT 19C QD C ;84.892,14;145.000,00;41.46;Casa, 55.38 de área total, 55.38 de área privativa, 102.39 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427365032
