
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444409733270 ;PI ;AGUA BRANCA ;POEIRÃO ;RUA PROJETADA OITO, N. SN, LT 01 QD A1 ;57.714,04;101.000,00;42.86;Casa, 0.00 de área total, 76.40 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409733270
 8444414362595 ;PI ;AGUA BRANCA ;TINGUIS ;AV JOAO FERREIRA, N. SN, LT 08 QD 12 ;57.927,83;101.374,14;42.86;Casa, 0.00 de área total, 73.50 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414362595
 8444410879631 ;PI ;AGUA BRANCA ;POEIRÃO ;R DEZ, N. SN, QD Q LT 14 ;65.128,21;113.615,58;42.68;Casa, 0.00 de área total, 69.32 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410879631
 8444411261941 ;PI ;AGUA BRANCA ;SÃO LUIS ;AV MARIA DE SOUSA, N. SN, LT 06 QD D ;57.750,52;99.756,00;42.11;Casa, 0.00 de área total, 61.20 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411261941
 8444425583474 ;PI ;AGUA BRANCA ;CENTRO ; RUA DOIS, N. SN, LT 05 QD F3 ;38.921,01;67.000,00;41.91;Casa, 56.00 de área total, 56.00 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425583474
 8444429810904 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA UM, N. S/N, LT 11A QD P ;83.135,75;142.000,00;41.46;Casa, 71.68 de área total, 71.68 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429810904
 8444430521759 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA PROJETADA 11, N. SN, LT 111 QD ;129.948,90;215.000,00;39.56;Casa, 120.00 de área total, 120.00 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430521759
 8444402386338 ;PI ;AGUA BRANCA ;BULUNGÃO ; RUA PROJETADA, N. SN, QD 01 LOTE 05 ;100.000,00;100.000,00;0.00;Casa, 93.70 de área total, 93.70 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402386338
 8444409561755 ;PI ;AGUA BRANCA ;TINGUIS ;LUIZA DE PAIVA VASCONCELOS, N. SN, LT17 QD 15 -LOT SAMBAIBA DOS VASCONCEL ;85.645,09;85.645,09;0.00;Casa, 49.28 de área total, 49.28 de área privativa, 140.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409561755
 8444410961788 ;PI ;AGUA BRANCA ;LOT. JOAO MACEDO ; RUA LAURINDO COSTA, N. SN, QD D LT 04 ;100.000,00;100.000,00;0.00;Casa, 69.86 de área total, 69.86 de área privativa, 300.00 de área do terreno,  1 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410961788
 8444412509165 ;PI ;AGUA BRANCA ;POEIRÃO ;RUA TRÊS, N. SN, LT 05 QD B1 ;130.000,00;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 285.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412509165
 8444413087060 ;PI ;AGUA BRANCA ;POEIRÃO ;RUA  NOVE, N. SN, LT 08 QD B1 ;139.294,79;139.294,79;0.00;Casa, 78.40 de área total, 78.40 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413087060
 8444414363230 ;PI ;AGUA BRANCA ;ALTO DO AÇUDE ;RUA 12, N. SN, LT 12 QD Q ;150.642,27;150.642,27;0.00;Casa, 0.00 de área total, 60.84 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414363230
 8444421475626 ;PI ;AGUA BRANCA ;ALTO DO AÇUDE ; RUA SEIS, N. SN, LT 07 QD X ;178.000,00;178.000,00;0.00;Casa, 65.74 de área total, 65.74 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421475626
 8444417071230 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA OITO, N. S/N, LT 121 ;88.229,53;84.702,70;0.00;Casa, 63.00 de área total, 63.00 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417071230
 8555522549414 ;PI ;AGUA BRANCA ;BULUNGÃO ; RUA JOCELINO SOARES, N. SN, QD C LT 12 ;53.453,07;43.800,00;0.00;Casa, 54.65 de área total, 54.65 de área privativa, 300.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555522549414
 8444417071796 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA NOVE, N. SN, QD Q LT 06 ;94.301,92;61.384,08;0.00;Casa, 65.00 de área total, 65.00 de área privativa, 322.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417071796
 8444412909961 ;PI ;ALAGOINHA DO PIAUI ;CENTRO ;RUA VALENTIM ROCHA, N. 35, LT 4 ;41.673,93;125.700,00;66.85;Casa, 0.00 de área total, 70.00 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412909961
 8444414637853 ;PI ;ALAGOINHA DO PIAUI ;SAO JOSE ;RUA PROJETADA, N. 10, QD A LT 04 ;45.613,67;127.000,00;64.09;Casa, 0.00 de área total, 84.60 de área privativa, 198.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414637853
 8444403933502 ;PI ;ALAGOINHA DO PIAUI ;LOT VAQUEJADA ; AV JOAO GABRIEL DE BRITO, N. 726, QD B LT 1B ;40.719,81;89.900,00;54.71;Casa, 0.00 de área total, 92.50 de área privativa, 100.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403933502
 8444406800465 ;PI ;ALAGOINHA DO PIAUI ;SAO JOSE ;RUA ANA PATURI, N. 105, . ;36.425,01;71.055,03;48.74;Casa, 0.00 de área total, 60.00 de área privativa, 168.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406800465
 8444410428133 ;PI ;ALAGOINHA DO PIAUI ;CENTRO ; RUA JOSE CLEMENTINO, N. 70, ;47.413,36;91.000,00;47.90;Casa, 0.00 de área total, 70.00 de área privativa, 203.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410428133
