
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444413830678 ;RJ ;ANGRA DOS REIS ;PARQUE MAMBUCABA MAM ;RUA TRES DE MAIO, N. SN, QD 60 LT 21 ;352.939,37;770.695,00;54.21;Casa, 0.00 de área total, 356.53 de área privativa, 1200.00 de área do terreno, 4 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413830678
 1444407844840 ;RJ ;ANGRA DOS REIS ;GARATUCAIA ;QUADRA 9, N. SN, LOTE 01 ;138.622,91;150.000,00;7.59;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407844840
 8444404819207 ;RJ ;ARARUAMA ;MONTEIRO SAO VICENTE ;ESTRADA SAO DE VICENTE, N. SN, CS 18 ;47.820,33;125.000,00;61.75;Casa, 0.00 de área total, 58.46 de área privativa, 163.93 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404819207
 8444400720001 ;RJ ;ARARUAMA ;PARATY ;R ITACOLOMI, N. 280, CS ;69.300,90;180.434,41;61.60;Casa, 0.00 de área total, 67.40 de área privativa, 450.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400720001
 8444409862615 ;RJ ;ARARUAMA ;LAGOINHA ;RUA AMETISTA, N. 15, RUA G ;78.743,84;201.000,00;60.83;Casa, 0.00 de área total, 98.00 de área privativa, 500.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409862615
 8444406056502 ;RJ ;ARARUAMA ;HAWAY ;RUA CRISTINA DA MATTA TEIXEIRA, N. 345, Apto 208, QD 15 ;53.152,09;124.000,00;57.14;Apartamento, 0.00 de área total, 59.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406056502
 1444409945113 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RODOVIA AMARAL PEIXOTO ANTIGA RUA SEM DENOMINACAO, N. 82784, Apto 202, LT 02, QD C ;103.967,18;230.000,00;54.80;Apartamento, 0.00 de área total, 75.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409945113
 1444414820951 ;RJ ;ARARUAMA ;VILA CANAA ;RUA B, N. 16, . ;103.063,11;228.000,00;54.80;Casa, 0.00 de área total, 70.00 de área privativa, 128.42 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414820951
 1555503904133 ;RJ ;ARARUAMA ;HOSPICIO ;ESTRADA DO ENJEITADO, N. SN, QD 0, LT 20 ;151.159,92;309.449,92;51.16;Casa, 0.00 de área total, 184.38 de área privativa, 392.00 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555503904133
 8444404425055 ;RJ ;ARARUAMA ;CENTRO (SAO VICENTE) ;ESTRADA RJ-138, N. SN, Apto 31, CS 31, ESTRADA DE SÃO VICENTE ;63.654,69;128.000,00;50.27;Casa, 0.00 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404425055
 8444413568670 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, CS 01, LT 510, QD 34 ;83.940,76;164.000,00;48.82;Casa, 0.00 de área total, 52.01 de área privativa, 115.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413568670
 8444402030398 ;RJ ;ARARUAMA ;MONTEIRO ;ESTRADA SAO DE VICENTE, N. SN, CS 19 ;120.738,98;220.000,00;45.12;Casa, 0.00 de área total, 49.23 de área privativa, 58.46 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402030398
 1444407595930 ;RJ ;ARARUAMA ;CENTRO (MORRO GRANDE) ;R REX, N. 100, QD17-A, LT375 ;185.821,17;335.000,00;44.54;Casa, 0.00 de área total, 134.40 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407595930
 1444419919328 ;RJ ;ARARUAMA ;ITATIQUARA ;ESTRADA DE BOA VISTA, N. 777, UNIDADE 68 ;57.214,21;103.000,00;44.46;Terreno, 0.00 de área total, 0.00 de área privativa, 500.64 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419919328
 8444403497923 ;RJ ;ARARUAMA ;MONTEIRO (SAO VICENTE) ; RUA DE CIRCULACAO INTERNA, N. 81, CS 08 ;76.464,05;132.000,00;42.08;Casa, 58.46 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403497923
 1444415754618 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA ROSEMERY, N. S/N, QD 19 LT 23 LOT VILA CAPRI ;339.735,90;576.296,59;41.05;Casa, 0.00 de área total, 220.00 de área privativa, 720.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415754618
 1555519715238 ;RJ ;ARARUAMA ;PARATY ;RUA AIMBERE, N. 444, QD 26 LT 08 ;303.620,49;510.000,00;40.47;Casa, 0.00 de área total, 476.59 de área privativa, 576.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha, Terraco, 3 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555519715238
 8555508868419 ;RJ ;ARARUAMA ;VILA CANAA ;RUA ALICE LEOCADIA DE SOUZA, N. 741, ;78.556,78;130.000,00;39.58;Casa, 69.67 de área total, 69.67 de área privativa, 450.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508868419
 8444410169774 ;RJ ;ARARUAMA ;Jacaré ;RUA JAGUARI, N. 65, QD 03 LT 65 ;92.181,39;151.000,00;38.96;Casa, 66.00 de área total, 66.00 de área privativa, 128.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410169774
 10206610 ;RJ ;ARARUAMA ;AREAL ;RUA ANDRADAS (ANTIGA RUA D), N. 00, QD 01, LT 18 ;201.497,77;330.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206610
 8444432735551 ;RJ ;ARARUAMA ;PRACA DA BANDEIRA ;RUA BERLIM, N. 360, CS 02 LT 11 QD H AREA B ;197.774,35;323.000,00;38.77;Casa, 79.62 de área total, 79.62 de área privativa, 496.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432735551
 10221028 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA CARDOSO MOREIRA, N. 205, CS4, QD B, LT 04, LOT. MOINHO DOS VENT ;125.616,09;199.573,30;37.06;Casa, 0.00 de área total, 64.00 de área privativa, 557.50 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221028
 1444402383764 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINAÇÃO, N. SN,  CS 102 LT 4B ;129.661,20;206.000,00;37.06;Casa, 81.57 de área total, 81.57 de área privativa, 1593.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402383764
