
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10218509 ;RO ;ALTA FLORESTA D'OESTE ;LIBERDADE ;AVENIDA PARÁ, N. 00, QD 25-B, LT 14, ST 01 ;198.000,00;170.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1676.65 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218509
 8444425865127 ;RO ;CACOAL ;PARQUE DOS LAGOS ;RUA MOREIAS, N. 97, QD 10 ;40.431,38;69.600,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 317.40 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425865127
 1444404718828 ;RO ;CANDEIAS DO JAMARI ;BAIRRO DAS FLORES ; RUA PRESIDENTE MEDICE, N. 530, LT 330L QD 15  SETOR 5 ;91.570,92;150.000,00;38.96;Casa, 110.65 de área total, 110.65 de área privativa, 218.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404718828
 10004080 ;RO ;CEREJEIRAS ;CENTRO ;Av. das Nações, N. 01, Lote 01, Quadra A-16, Setor A ;1.538.533,82;400.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1028.40 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10004080
 8444402273193 ;RO ;GUAJARA-MIRIM ;Setor II ; ALAMEDA SÃO JOSÉ, N. 0, LT 19, QD 161, ST 2 ;63.628,87;120.000,00;46.98;Casa, 0.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402273193
 8444423500016 ;RO ;GUAJARA-MIRIM ;CENTRO ;TV FRANCISCO PINHEIRO, N. SN, LT 27 QD 94 ST 04 ;52.102,60;90.000,00;42.11;Terreno, 0.00 de área total, 0.00 de área privativa, 225.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423500016
 1444412606120 ;RO ;GUAJARA-MIRIM ;LOT SAM BENNESBY ;RUA V3, N. 10, LT 11 QD 08B1 ;196.292,80;308.000,00;36.27;Casa, 210.56 de área total, 38.42 de área privativa, 315.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412606120
 10138089 ;RO ;ITAPUA DO OESTE ;CENTRO ;AVENIDA COSTA E SILVA, N. 70, SETOR 01, QDR 06, LT 70 ;255.000,00;255.000,00;0.00;Comercial, 0.00 de área total, 258.00 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10138089
 10206958 ;RO ;JI-PARANA ;CENTRO ;RUA TENENTE BRASIL, N. SN, LT 1, ST 02, QD 04, LT 15 ;574.497,61;965.000,00;40.47;Terreno, 0.00 de área total, 0.00 de área privativa, 843.60 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206958
 10206961 ;RO ;JI-PARANA ;CENTRO ;RUA TENENTE BRASIL, N. SN, STR 02 01, QD 09,LT 15 ;472.695,44;794.000,00;40.47;Terreno, 0.00 de área total, 0.00 de área privativa, 585.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206961
 8444421997355 ;RO ;JI-PARANA ;COPAS VERDES ;RUA LAURO CELESTINO DE CARVALHO, N. 1157, QD 07 LT 11-A ;127.531,25;211.000,00;39.56;Casa, 79.68 de área total, 79.68 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421997355
 8444429794518 ;RO ;JI-PARANA ;JK ;RUA PAVAO, N. 2578, LT 01 H3B QD 100 ST 07-01-K ;127.531,25;211.000,00;39.56;Casa, 67.78 de área total, 67.78 de área privativa, 158.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429794518
 10276423 ;RO ;JI-PARANA ;CENTRO ;RUA SEIS DE MAIO, N. SN, QD 34,LT 13,ST 02.01 ;855.000,00;855.000,00;0.00;Prédio, 0.00 de área total, 139.44 de área privativa, 830.88 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276423
 10276425 ;RO ;JI-PARANA ;CENTRO ;RUA PEDRO TEIXEIRA, N. SN, QD 34,LT 02,ST 02.01 ;1.000.000,00;1.000.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 743.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276425
 8444422320146 ;RO ;JI-PARANA ;GREEN PARK ;RUA FLOR DE LIS, N. 643, LT 17 QD 75 ;173.000,00;173.000,00;0.00;Casa, 55.25 de área total, 55.25 de área privativa, 156.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422320146
 10276426 ;RO ;JI-PARANA ;CENTRO ;RUA SEIS DE MAIO, N. 00, QD 34,LT 12,ST 02.01 ;346.000,00;280.000,00;0.00;Comercial, 0.00 de área total, 0.00 de área privativa, 588.68 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10276426
 1555522038772 ;RO ;MACHADINHO D'OESTE ;Lot. Porto Feliz ;RUA CAMILA LIMA JERONIMO, N. 3215, LT 14 QD 2 ;335.000,00;335.000,00;0.00;Casa, 0.00 de área total, 142.00 de área privativa, 345.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555522038772
 10202885 ;RO ;OURO PRETO DO OESTE ;CENTRO ;RUA JOÃO WESLEY (ANTIGA MARGINAL IGARAPÉ), N. 00, ST 01, QD 31, LT 375 ;352.682,15;608.000,00;42.00;Terreno, 0.00 de área total, 0.00 de área privativa, 7273.85 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10202885
 10012278 ;RO ;PORTO VELHO ;CIDADE JARDIM ;RUA SEBASTIÃO HAFFNER, N. 650, QD 10, LOTE 650, SETOR 51 ;592.441,12;1.809.364,27;67.26;Terreno, 0.00 de área total, 0.00 de área privativa, 5650.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10012278
 8444418306070 ;RO ;PORTO VELHO ;CONCEICAO ;RUA RIO GRANDE DO SUL, N. SN, LOTE 0076, QUADRA 112, SETOR 028 ;181.236,25;320.000,00;43.37;Casa, 167.15 de área total, 167.15 de área privativa, 272.83 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418306070
 1444418713378 ;RO ;PORTO VELHO ;AEROCLUBE ;RUA BARLAVENTO, N. 229, QD 33 ;163.295,85;277.000,00;41.05;Casa, 0.00 de área total, 60.87 de área privativa, 60.87 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418713378
 1444417460662 ;RO ;PORTO VELHO ;LAGOINHA ;RUA BENEDITO INOCENCIO, N. 6063, LT 11 QD W ;370.023,18;606.000,00;38.95;Casa, 0.00 de área total, 268.03 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417460662
 8444401586970 ;RO ;PORTO VELHO ;PEDRINHAS ;RUA LEONARDO DA VINCI, N. 208, Apto 202, 1° PAV. ;141.620,24;225.000,00;37.06;Apartamento, 73.63 de área total, 63.93 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401586970
 1444403086267 ;RO ;PORTO VELHO ;AGENOR DE CARVALHO ;RUA RAIMUNDO MERCES, N. 4960, LT 0360 QD97 SETOR 12 ;493.918,58;775.000,00;36.27;Casa, 364.61 de área total, 364.61 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403086267
