
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444409668193 ;RS ;ALEGRETE ;CAPAO DO ANGICO ;RUA LARANJEIRA, N. 380, LT 02, QD F6 ;144.797,80;284.000,00;49.02;Casa, 0.00 de área total, 146.57 de área privativa, 285.20 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409668193
 10214912 ;RS ;ALEGRETE ;CENTRO ;RUA VASCO ALVES, N. 464, QD 41, LT 13 ;641.138,19;1.006.000,00;36.27;Casa, 0.00 de área total, 228.63 de área privativa, 508.80 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214912
 8444430152613 ;RS ;ALVORADA ;MARIA REGINA ;RUA 16 UNIDOS (ANTIGA RUA 27), N. 85, Apto 403, ANTIGO NUM 83 ;36.291,37;102.500,00;64.60;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430152613
 8444418515493 ;RS ;ALVORADA ;TIJUCA ;RUA SILVEIRA MARTINS, N. 260, Apto 260, BL O ;40.364,72;109.000,00;62.97;Apartamento, 0.00 de área total, 39.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418515493
 8444412764793 ;RS ;ALVORADA ;UMBU ;RUA 26, N. 267, QD N3 LT 04 CS 01 ;49.509,20;128.000,00;61.33;Casa, 0.00 de área total, 31.50 de área privativa, 150.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412764793
 8444419518399 ;RS ;ALVORADA ;VL MORUMBY ;RUA JOSE LINS DO REGO, N. 1286, CASA 02 ;58.668,54;150.000,00;60.89;Casa, 0.00 de área total, 45.84 de área privativa, 87.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419518399
 8444429364947 ;RS ;ALVORADA ;UMBU ;RUA AMAPA, N. 107, Apto 202, LT 05, QD F-1 ;67.339,67;170.000,00;60.39;Apartamento, 0.00 de área total, 42.70 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429364947
 8444423287959 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA R CENTO E CINQUENTA E QUATRO, N. 181, Apto 203, LT 52 QD E18 ;74.218,60;155.000,00;52.12;Apartamento, 0.00 de área total, 42.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423287959
 8444417829907 ;RS ;ALVORADA ;UMBU ;RUA CARAMURU ANTIGA RUA 21, N. 129, Apto 3, . ;61.070,36;120.500,00;49.32;Apartamento, 0.00 de área total, 35.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417829907
 8444421709953 ;RS ;ALVORADA ;UMBU ;RUA BANDEIRANTE, N. 25, Apto 1, LT 03 QD O1 ;66.650,61;130.000,00;48.74;Apartamento, 0.00 de área total, 41.50 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421709953
 1444408525455 ;RS ;ALVORADA ;APARECIDA ;RUA ENI DAVILA FRAGOSO, N. 22, CASA ;78.217,16;151.800,00;48.48;Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408525455
 8444416514244 ;RS ;ALVORADA ;TIJUCA ;RUA SOUZA LOBO, N. 56, Apto 02,  . ;90.741,05;175.000,00;48.15;Casa, 0.00 de área total, 48.18 de área privativa, 115.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416514244
 8444426817460 ;RS ;ALVORADA ;ALVORADA ; RUA MARIA DE LOURDES DA SILVA, N. 121, Apto 103, QD A-15 LT 44 ;54.997,19;100.000,00;45.01;Apartamento, 36.85 de área total, 31.00 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426817460
 8444429256001 ;RS ;ALVORADA ;MARIA REGINA ;RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO ;51.147,39;93.000,00;45.01;Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429256001
 8444429692391 ;RS ;ALVORADA ;MARIA REGINA ;RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401, ;45.804,80;83.000,00;44.82;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429692391
 1444415822494 ;RS ;ALVORADA ;TIJUCA ;RUA SILVEIRA MARTINS, N. 260, Apto 304, BL A ;61.546,95;110.800,00;44.46;Apartamento, 0.00 de área total, 39.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415822494
 8444410776581 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA CATURRITAS, N. 766, CASA 01 LOTE 30 QUADRA A-97 ;71.654,14;125.000,00;42.68;Casa, 40.00 de área total, 40.00 de área privativa, 87.50 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410776581
 8444416452222 ;RS ;ALVORADA ;UMBU ;RUA DAS CAMELIAS (RUA 26), N. 260, CS 01 ;90.746,77;155.000,00;41.46;Casa, 49.00 de área total, 48.02 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416452222
 8444430923695 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA CENTO E QUARENTA E OITO, N. 458, Apto 303, ;95.798,25;161.659,00;40.75;Apartamento, 0.00 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430923695
 8555526805113 ;RS ;ALVORADA ;TERRA NOVA ;AV TERRA NOVA, N. 601, CS 101 ;137.806,28;228.000,00;39.56;Casa, 51.54 de área total, 51.05 de área privativa, 85.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555526805113
 8787700643943 ;RS ;ALVORADA ;PASSO DO FEIJO ;RUA ALBION, N. 669, Apto 402, VG 15 ;111.816,50;185.000,00;39.56;Apartamento, 0.00 de área total, 57.89 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700643943
 8444416673067 ;RS ;ALVORADA ;STELLA MARIS ;ESTRADA CAMINHO DO MEIO, N. 23, COND TERRA NOVA RESERVA I QUADRA B ;119.590,43;190.000,00;37.06;Casa, 65.89 de área total, 62.97 de área privativa, 151.40 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416673067
 1555533304991 ;RS ;ALVORADA ;STELLA MARIS ;ESTRADA CAMINHO DO MEIO, N. 501, CS 160 QD B ;154.789,05;242.877,10;36.27;Casa, 0.00 de área total, 65.55 de área privativa, 143.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555533304991
