
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10203835 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-E ;201.497,77;330.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 2018.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203835
 10203836 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-D ;274.769,69;450.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 2000.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203836
 8444420114506 ;SC ;ARAQUARI ;ITINGA ; R OSWALDO BARBOSA FERREIRA, N. 54, Apto 101-, BL A ;117.709,53;205.000,00;42.59;Apartamento, 0.00 de área total, 49.46 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420114506
 8444416200800 ;SC ;ARAQUARI ;ITINGA ; SAO BENTO DO SUL, N. 668, CS 004 ;138.410,69;229.000,00;39.56;Casa, 45.51 de área total, 44.46 de área privativa, 81.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416200800
 8787714015460 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CASA 277 ;133.877,59;221.500,00;39.56;Casa, 50.88 de área total, 50.01 de área privativa, 77.91 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714015460
 8787715630370 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 143 VG 143 ;142.037,17;235.000,00;39.56;Casa, 50.88 de área total, 50.01 de área privativa, 147.29 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715630370
 8787711188177 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 02 ;183.691,35;300.000,00;38.77;Casa, 50.88 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711188177
 8787708530323 ;SC ;ARAQUARI ;ITINGA ; RUA DAS CARPAS, N. 594, CS 69 ;157.216,56;215.000,00;26.88;Casa, 51.75 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708530323
 8444429283181 ;SC ;ARAQUARI ;ITINGA ;RUA VENDOLINO KUHNEN, N. 371, Apto 301, VG 06 ;239.082,86;201.706,25;0.00;Apartamento, 58.19 de área total, 40.77 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429283181
 8444415574634 ;SC ;ARARANGUA ;JARDIM CIBELI ;RUA CELINO RUFINO DA SILVA, N. 261, 261, CASA 03 ;114.838,57;190.000,00;39.56;Casa, 60.56 de área total, 59.95 de área privativa, 135.25 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415574634
 8444426080310 ;SC ;ARARANGUA ;CAVERAZINHO ; RUA B, N. 247, ;250.000,00;250.000,00;0.00;Casa, 47.00 de área total, 47.00 de área privativa, 312.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426080310
 8444427292280 ;SC ;ARARANGUA ;INDUSTRIAL ;RUA ANTONINA PEREIRA DE SOUZA, N. SN, LT 02  QD F ;195.500,00;195.500,00;0.00;Casa, 0.00 de área total, 49.50 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427292280
 1444422980032 ;SC ;ARARANGUA ;URUSSANGUINHA ;RUA ALBINO PEREIRA DE SOUZA, N. 107, ;580.423,94;576.000,00;0.00;Casa, 123.71 de área total, 123.71 de área privativa, 432.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422980032
 8444431747874 ;SC ;ARARANGUA ;MATO ALTO ;RUA JOAQUIM CRISTIANO DE MEDEIROS, N. SN, LT 05 QD M ;152.452,86;80.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 347.75 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431747874
 1444417990700 ;SC ;BALNEARIO GAIVOTA ;CENTRO ; RUA  11 ANDRE FIORAVANTE MINATTO, N. 806, ;430.187,15;675.000,00;36.27;Casa, 130.98 de área total, 130.98 de área privativa, 288.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417990700
 8444413998534 ;SC ;BALNEARIO PICARRAS ;NOSSA SRA DA PAZ ;R 5.170 - DAS DALIAS, N. 13, Apto 201, APTO 201 ;159.199,17;260.000,00;38.77;Apartamento, 0.00 de área total, 38.58 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413998534
 1444420323670 ;SC ;BALNEARIO RINCAO ;PRAIA DO RINCAO ;PRAIA DO RINCAO, N. SN, QD 215, LT 01 ;44.232,19;73.000,00;39.41;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420323670
 1444415779173 ;SC ;BALNEARIO RINCAO ;LAGOA DOS FREITAS ;RUA COPACABANA, N. 1128, LT 03 QD 25 ;155.012,19;103.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 312.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415779173
 8444411780990 ;SC ;BARRA VELHA ;QUINTA DOS AÇORIANOS ; RUA CASTELO DE GUIMARÃES, N. 454, CS 01 ;139.015,11;230.000,00;39.56;Casa, 54.22 de área total, 54.22 de área privativa, 105.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411780990
 8444413601162 ;SC ;BARRA VELHA ;JARDIM BELA VISTA ; RUA 1336, N. 273, LT 39 QD 03 ;342.000,00;342.000,00;0.00;Casa, 143.00 de área total, 143.00 de área privativa, 334.60 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413601162
 1444419683545 ;SC ;BIGUACU ;BEIRA RIO ;AVENIDA WILSON CASTELO BRANCO, N. 81, LT 64E QD B LOT CIDADE DELTAVILLE ;163.152,46;256.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 180.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419683545
 10222639 ;SC ;BIGUACU ;BOA VISTA ;RUA BERTOLDO SIMAO DE OLIVEIRA, N. 895, Apto 307, BL C ;197.000,00;197.000,00;0.00;Apartamento, 0.00 de área total, 41.88 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222639
 8555517881783 ;SC ;BIGUACU ;FUNDOS ;RUA HOMERO DE MIRANDA GOMES, N. 829, Apto 202, BL 03 ;217.000,00;217.000,00;0.00;Apartamento, 0.00 de área total, 45.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517881783
