
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10217517 ;SE ;AQUIDABA ;CENTRO ;RODOVIA GOVERNADOR VALADARES, N. 00, QD B, LT 04 ;48.473,63;80.000,00;39.41;Terreno, 0.00 de área total, 0.00 de área privativa, 198.11 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217517
 1444414728931 ;SE ;AQUIDABA ;CENTRO ;AVENIDA MINISTRA LEONOR BARRETO FRANCO, N. 2256, ;215.000,00;215.000,00;0.00;Casa, 93.79 de área total, 93.79 de área privativa, 174.82 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414728931
 8444426224435 ;SE ;ARACAJU ;MARIVAN ;RUA TOM JOBIM (ANTIGA J-1), N. 140, Apto 102, ED FLAUTIM ;74.595,34;135.000,00;44.75;Apartamento, 0.00 de área total, 43.69 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426224435
 8555527203869 ;SE ;ARACAJU ;SOLEDADE ; RUA H, N. 245, Apto 202, BLOCO 10 ;61.142,59;107.000,00;42.86;Apartamento, 51.52 de área total, 46.22 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527203869
 8787702254790 ;SE ;ARACAJU ;PORTO D'ANTAS ;AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 3540, Apto 301, BL IRIS ;66.998,68;116.878,60;42.68;Apartamento, 94.55 de área total, 43.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702254790
 1444406647413 ;SE ;ARACAJU ;NOSSA SENHORA FATIMA ;RUA PADRE CALDAS, N. 197, Apto 602, ;195.018,17;340.000,00;42.65;Apartamento, 0.00 de área total, 117.15 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406647413
 8444402154143 ;SE ;ARACAJU ;CENTRO ;RUA SAO CRISTOVAO, N. 461, Apto 410, ED FUTURO ;79.037,43;137.679,39;42.60;Apartamento, 0.00 de área total, 42.84 de área privativa, 0.00 de área do terreno,  1 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402154143
 8444428532064 ;SE ;ARACAJU ;PONTO NOVO ;RUA ISAIAS AMANCIO DE JESUS, N. 103, Apto 03, ;74.726,23;129.000,00;42.08;Apartamento, 84.38 de área total, 58.62 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428532064
 8787706604702 ;SE ;ARACAJU ;MARIVAN ;AVENIDA JORNALISTA JUAREZ CONRADO DANTAS, N. 1125, Apto 302, BL 15 VG 624 ;77.622,60;134.000,00;42.08;Apartamento, 66.29 de área total, 48.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706604702
 1444400933651 ;SE ;ARACAJU ;JABOTIANA ;TRAVESSA GOVERNADOR MANOEL DANTAS, N. 44, ;145.017,33;250.000,00;42.00;Casa, 0.00 de área total, 184.48 de área privativa, 130.16 de área do terreno,  8 qto(s), varanda, WC, WC Emp, 2 sala(s), 1 lavabo(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400933651
 8444429086092 ;SE ;ARACAJU ;PONTO NOVO ;RUA ISAIAS AMANCIO DE JESUS, N. 103, Apto 03, TERREO ;81.964,82;140.000,00;41.46;Apartamento, 53.90 de área total, 53.90 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429086092
 8787707842283 ;SE ;ARACAJU ;SANTA MARIA ;AVENIDA JORNALISTA JUAREZ CONRADO DANTAS, N. 1125, Apto 201, BL 14, VAGA 899 ;97.778,11;165.000,00;40.75;Apartamento, 58.73 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707842283
 1444402252511 ;SE ;ARACAJU ;OLARIA ;RUA TRES, N. 105, Apto 302, BL 06 ;78.556,78;130.000,00;39.58;Apartamento, 56.20 de área total, 56.20 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402252511
 8787700512458 ;SE ;ARACAJU ;JABOTIANA ;RUA JASIEL DE BRITO CORTES, N. 847, Apto 402, BL DUNAS ;139.015,11;230.000,00;39.56;Apartamento, 116.80 de área total, 66.35 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700512458
 10211320 ;SE ;ARACAJU ;PEREIRA LOBO ;AVENIDA DOUTOR EDELZIO VIEIRA DE MELO, N. 2269 ;236.124,95;390.000,00;39.46;Loja, 0.00 de área total, 220.72 de área privativa, 126.75 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211320
 8444403592977 ;SE ;ARACAJU ;NOVO PARAISO ; RUA SARGENTO OSVALDO CONCEIÇÃO, N. 51, ;85.466,19;140.000,00;38.96;Casa, 120.00 de área total, 120.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403592977
 8444415635080 ;SE ;ARACAJU ;JABOTIANA ;RUA DO HORTO, N. 240, Apto 903, ED OLIVEIRA ;165.322,22;270.000,00;38.77;Apartamento, 0.00 de área total, 60.39 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415635080
 1555526605825 ;SE ;ARACAJU ;ARUANA ; RUA Z, N. 90, Apto 302, ;111.168,79;180.000,00;38.24;Apartamento, 75.05 de área total, 54.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526605825
 8444400822092 ;SE ;ARACAJU ;MOSQUEIRO ;RUA FRANCISCO ANTONIO SANTOS, N. 500, Apto 404, BL15 RUA 05 ;96.346,29;156.000,00;38.24;Apartamento, 56.86 de área total, 48.98 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400822092
 8444402258666 ;SE ;ARACAJU ;PONTO NOVO ;RUA SANTA TEREZINHA, N. 220, Apto 103, ;98.816,70;160.000,00;38.24;Apartamento, 88.95 de área total, 83.04 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402258666
 8444402545460 ;SE ;ARACAJU ;AMERICA ;RUA GROELANDIA, N. 337, MARCENARIA STO ANTONIO ;108.080,77;175.000,00;38.24;Casa, 166.10 de área total, 166.10 de área privativa, 196.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402545460
 8444419075411 ;SE ;ARACAJU ;SIQUEIRA CAMPOS ;RUA DISTRITO FEDERAL, N. 1570, CASA A ;105.912,98;171.490,00;38.24;Casa, 132.96 de área total, 126.33 de área privativa, 137.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419075411
