
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10275558 ;TO ;ARAGUAINA ;JARDIM FILADELFIA ;AVENIDA MARECHAL HERMES ALENCAR CASTELO BRANCO, N. 00, QD 16, LT 12 ;300.000,00;185.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275558
 10275559 ;TO ;ARAGUAINA ;JARDIM FILADELFIA ;AVENIDA HUMBERTO ALENCAR CARTELO BRANCO, N. 00, QD 16, LT 11 ;300.000,00;108.534,39;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275559
 1444408243336 ;TO ;AUGUSTINOPOLIS ;SETOR CENTRAL ;RUA PEDRO COELHO AMARO, N. SN, LT 01 02 03 QD 23 ;244.091,38;383.000,00;36.27;Casa, 224.50 de área total, 224.50 de área privativa, 846.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408243336
 8444417536411 ;TO ;AUGUSTINOPOLIS ;LT PORTAL DO SOL II ;AVENIDA ANACLETO PAULINO DA SILVA, N. SN, LT 04 QD 11 ;155.939,03;152.000,00;0.00;Casa, 0.00 de área total, 67.20 de área privativa, 264.90 de área do terreno,  1 qto(s), varanda, a.serv, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417536411
 1444416152174 ;TO ;BRASILANDIA DO TOCANTINS ;Centro ;AVENIDA JOAO PIRES DE CASTRO, N. SN, LT04 QD29 ;382.388,58;600.000,00;36.27;Casa, 360.19 de área total, 360.19 de área privativa, 691.50 de área do terreno,  5 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416152174
 10217507 ;TO ;COLINAS DO TOCANTINS ;AEROPORTO ;ALAMEDA UNIVERSITÁRIA, N. 00, LT 13G ;172.799,26;271.136,64;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 2002.19 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217507
 8444421210959 ;TO ;GURUPI ;RESIDENCIAL PARK DOS BURITIS ;AVENIDA CONTORNO, N. 171, LT 01 QD 44 ;142.000,00;142.000,00;0.00;Casa, 58.30 de área total, 58.30 de área privativa, 208.54 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421210959
 8444422320286 ;TO ;GURUPI ;LOTEAMENTO AGUAS CLARAS ;RUA 35, N. 202, LT 28 QD QR-08 ;104.000,00;104.000,00;0.00;Casa, 51.50 de área total, 51.50 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422320286
 1555516857392 ;TO ;GURUPI ;SETOR CENTRAL ;AVENIDA BRASILIA, N. 2367, AREA AR-6 LOTE 01 QD 01 ;1.150.200,00;920.000,00;0.00;Casa, 400.00 de área total, 400.00 de área privativa, 1466.75 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555516857392
 8555504121688 ;TO ;MIRACEMA DO TOCANTINS ;SETOR CENTRAL ;RUA DA CANCELA, N. SN, LT 04, QD B ;38.172,98;70.000,00;45.47;Casa, 0.00 de área total, 50.59 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555504121688
 1555513900726 ;TO ;MIRACEMA DO TOCANTINS ;SETOR SUSSUAPARA II ; RUA 27, N. 283, QD 93, LT 35, SETOR SUSSUAPARA II ;81.959,59;144.000,00;43.09;Casa, 0.00 de área total, 242.73 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s).;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555513900726
 8555518066960 ;TO ;MIRACEMA DO TOCANTINS ;SETOR CENTRAL ; RUA MARANHAO, N. S/N, LT 12, QD B ;96.211,56;167.000,00;42.39;Casa, 0.00 de área total, 180.00 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555518066960
 10277487 ;TO ;MIRACEMA DO TOCANTINS ;MIRACEMA DO TOCANTIS ;LOTEAMENTO POÇO AZUL, N. SN ;439.109,55;689.000,00;36.27;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 50000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10277487
 8331400000183 ;TO ;PALMAS ;Lot. Santa Fé ;Rua T-14 Qd-18 Lt-21 ;147.595,61;293.000,00;49.63;Casa, 116.07 de área total, 0.00 de área privativa, 488.24 de área do terreno,  3 qto(s), varanda, a.serv, WC, 3 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8331400000183
 8444408731207 ;TO ;PALMAS ;CENTRO (TAQUARALTO) ;RUA 6, N. S/N, CS 01 LT 10 QD 20 ;126.926,84;210.000,00;39.56;Casa, 86.42 de área total, 86.42 de área privativa, 150.49 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408731207
 1444404677803 ;TO ;PALMAS ;LOT PALMAS 3 ETAPA ;QUADRA ARNE 41 ALAMEDA 5, N. SN, LT 13 CONJ QI-10 ;420.627,44;660.000,00;36.27;Casa, 184.49 de área total, 184.49 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404677803
 10279405 ;TO ;PALMAS ;MORADA DO SOL ;AV MORRO BRANCO, N. SN, QD 124, LT 08 ;110.000,00;110.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 490.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279405
 1444402858967 ;TO ;PALMAS ;PLANO DIRETOR ;ALAMEDA 13, N. 14, CJ QI-11 QD ARSO-121 ;590.000,00;590.000,00;0.00;Prédio, 0.00 de área total, 221.70 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402858967
 8444415507317 ;TO ;PALMAS ;LOTEAMENTO SANTA FE QUARTA ETAPA ;RUA MACAUBA, N. SN, CS 02 LT 20 QD 26 ;205.000,00;205.000,00;0.00;Casa, 180.00 de área total, 84.69 de área privativa, 180.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415507317
 8787703036550 ;TO ;PALMAS ;PLANO DIRETOR NORTE ;QUADRA ACSUNE 50, N. SN, Apto 306, BL 04 VG 430 CJ 02 RUA 1-B ;198.000,00;198.000,00;0.00;Apartamento, 66.10 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703036550
 8787704742318 ;TO ;PALMAS ;PLANO DIRETOR NORTE ;RUA 01-B, N. SN, Apto 201, BL 04 LT 09-A QD ACSUNE 50 CJ 02 VAGA2 ;159.000,00;159.000,00;0.00;Apartamento, 78.60 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704742318
