
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10206716 ;SP ;ADAMANTINA ;1 ;RUA PERU, N. 249, Apto 23, JD TRES MARIAS ;398.873,99;670.000,00;40.47;Apartamento, 0.00 de área total, 167.60 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206716
 1444410122117 ;SP ;ADAMANTINA ;JARDIM DOS POETAS ;RUA GREGORIO DE MATOS, N. 61, QD C LT 21 ;243.506,55;160.000,00;0.00;Casa, 40.28 de área total, 40.28 de área privativa, 204.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444410122117
 8444425896669 ;SP ;ADOLFO ;JARDIM AMARAL ;RUA FERNAO DIAS, N. 129, LT 04 ;84.892,14;145.000,00;41.46;Casa, 53.19 de área total, 53.19 de área privativa, 158.29 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425896669
 8444405322578 ;SP ;AGUAS DE LINDOIA ;PARQUE DAS FONTES ; RUA CAMPOS DO JORDAO, N. 180, ;149.650,00;250.671,32;40.31;Casa, 0.00 de área total, 52.89 de área privativa, 416.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405322578
 10215795 ;SP ;AGUAS DE SANTA BARBARA ;THERMAS DE SANTA BARBARA ;RUA 161, N. 00, QD DV, LT 30, ESQUINA COM RUA 186 ;322.481,04;506.000,00;36.27;Casa, 0.00 de área total, 143.65 de área privativa, 432.60 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215795
 1444414755009 ;SP ;AGUAS DE SANTA BARBARA ;THERMAS DE SANTA BARBARA ;RUA 157, N. 239, ;445.000,00;445.000,00;0.00;Casa, 193.86 de área total, 193.86 de área privativa, 900.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414755009
 8444415793220 ;SP ;AGUDOS ;PARQUE PAMPULHA ; RUA BUDAPEST, N. 110, LT C04 QD 36 ;96.592,92;163.000,00;40.75;Casa, 48.01 de área total, 48.01 de área privativa, 192.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415793220
 8787708140622 ;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA 05 (PROJETADA), N. 325, QD 14 LT 41 ;58.229,56;118.091,60;50.70;Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708140622
 8444424185050 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA ALCIDES MORANI, N. SN, LT 08A QD N ;34.854,64;60.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424185050
 8444427168164 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;AVENIDA CASTRO ALVES, N. 0, LT 43A, QD P ;33.111,90;57.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 154.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427168164
 8444427676801 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA VISCONDE TAUNAY, N. 0, LT 21B ;30.207,35;52.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427676801
 8444427686050 ;SP ;ALVARES MACHADO ;ALVARES MACHADO ; AVENIDA CASTRO ALVES, N. S/N, LT 42A, QD P ;43.055,41;74.117,10;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 154.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427686050
 8444427749906 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA LAURA DA SILVA SOARES, N. 53, LT 12-A QD M ;35.435,55;61.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 138.24 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427749906
 8444419357018 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA GRACA ARANHA, N. 74, LT 05A QD D ;90.226,28;150.000,00;39.85;Prédio, 55.45 de área total, 55.45 de área privativa, 126.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419357018
 1444420773633 ;SP ;ALVARES MACHADO ;RESIDENCIAL VALENCIA II ; RUA GUILHERME BARAO MARTIN (ANTIGA RUA 16), N. SN, QD A-09 LT 08 ;127.772,93;203.000,00;37.06;Terreno, 0.00 de área total, 0.00 de área privativa, 263.46 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420773633
 8555539174680 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, BL 31 VAGA N 567 ;110.819,21;193.000,00;42.59;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539174680
 8555538122199 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, ;135.539,73;230.000,00;41.07;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538122199
 8787703905892 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 405, BL 21 ;101.926,27;172.000,00;40.75;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703905892
 8787713901261 ;SP ;AMERICANA ;JARDIM SAO DOMINGOS ;RUA TREZE DE MAIO, N. 85, Apto 301, TR B VG 026 ;177.000,00;295.000,00;40.00;Apartamento, 82.51 de área total, 54.78 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713901261
 8787706921368 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 302, BL 14 VAGA 747 ;113.025,32;187.000,00;39.56;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706921368
 8787707542182 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 14 GLB A3B ;114.834,94;189.994,00;39.56;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707542182
 8787709407886 ;SP ;AMERICANA ;BALSA ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 04, BL I ;123.300,35;204.000,00;39.56;Apartamento, 54.90 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709407886
 8444418443620 ;SP ;AMERICANA ;PARQUE RESIDENCIAL JAGUARI ;AVENIDA SANTA CECILIA, N. 969, Apto 22, ;145.116,17;237.000,00;38.77;Apartamento, 71.05 de área total, 65.39 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418443620
